membership_period_id,member_id,period_year,period_start,period_end,membership_type,list_fee,discount_amount,net_membership_revenue,contribution_margin,renewed_next_period
MP000109,M00059,2023,2023-08-27,2023-12-31,Youth annual,300,0,300,93,Yes
MP000110,M00059,2024,2024-01-01,2024-12-31,Youth annual,300,50,250,77.5,Yes
MP000111,M00059,2025,2025-01-01,2025-12-31,Youth annual,300,0,300,93,Censored
MP000112,M00060,2022,2022-09-01,2022-12-31,Youth annual,300,0,300,93,Yes
MP000113,M00060,2023,2023-01-01,2023-12-31,Youth annual,300,0,300,93,No
MP000114,M00061,2023,2023-04-23,2023-12-31,Senior annual,390,25,365,131.4,No
MP000115,M00062,2025,2025-02-20,2025-12-31,Adult annual,540,50,490,215.6,Censored
MP000116,M00063,2024,2024-09-05,2024-12-31,Monthly flexible,480,50,430,176.3,No
MP000117,M00064,2023,2023-04-11,2023-12-31,Senior annual,390,0,390,140.4,Yes
MP000118,M00064,2024,2024-01-01,2024-12-31,Senior annual,390,0,390,140.4,Yes
MP000119,M00064,2025,2025-01-01,2025-12-31,Senior annual,390,50,340,122.4,Censored
MP000120,M00065,2024,2024-06-05,2024-12-31,Family annual,840,50,790,308.1,Yes
MP000121,M00065,2025,2025-01-01,2025-12-31,Family annual,840,0,840,327.6,Censored
MP000122,M00066,2024,2024-04-23,2024-12-31,Monthly flexible,480,0,480,196.8,Yes
MP000123,M00066,2025,2025-01-01,2025-12-31,Monthly flexible,480,50,430,176.3,Censored
MP000124,M00067,2025,2025-09-07,2025-12-31,Adult annual,540,0,540,237.6,Censored
MP000125,M00068,2022,2022-03-15,2022-12-31,Monthly flexible,480,0,480,196.8,No
MP000126,M00069,2025,2025-03-19,2025-12-31,Senior annual,390,75,315,113.4,Censored
MP000127,M00070,2024,2024-01-28,2024-12-31,Senior annual,390,0,390,140.4,No
MP000128,M00071,2024,2024-02-07,2024-12-31,Senior annual,390,0,390,140.4,Yes
MP000129,M00071,2025,2025-01-01,2025-12-31,Senior annual,390,50,340,122.4,Censored
MP000130,M00072,2024,2024-06-03,2024-12-31,Family annual,840,0,840,327.6,Yes
MP000131,M00072,2025,2025-01-01,2025-12-31,Family annual,840,0,840,327.6,Censored
MP000132,M00073,2024,2024-03-18,2024-12-31,Family annual,840,75,765,298.35,Yes
MP000133,M00073,2025,2025-01-01,2025-12-31,Family annual,840,0,840,327.6,Censored
MP000134,M00074,2024,2024-11-20,2024-12-31,Adult annual,540,75,465,204.6,Yes
MP000135,M00074,2025,2025-01-01,2025-12-31,Adult annual,540,0,540,237.6,Censored
MP000136,M00075,2025,2025-08-28,2025-12-31,Youth annual,300,0,300,93,Censored
MP000137,M00076,2025,2025-04-27,2025-12-31,Monthly flexible,480,50,430,176.3,Censored
MP000138,M00077,2024,2024-09-20,2024-12-31,Adult annual,540,0,540,237.6,Yes
MP000139,M00077,2025,2025-01-01,2025-12-31,Adult annual,540,0,540,237.6,Censored
MP000140,M00078,2025,2025-04-06,2025-12-31,Adult annual,540,75,465,204.6,Censored
MP000141,M00079,2023,2023-04-29,2023-12-31,Family annual,840,0,840,327.6,Yes
MP000142,M00079,2024,2024-01-01,2024-12-31,Family annual,840,0,840,327.6,Yes
MP000143,M00079,2025,2025-01-01,2025-12-31,Family annual,840,0,840,327.6,Censored
MP000144,M00080,2025,2025-09-11,2025-12-31,Adult annual,540,0,540,237.6,Censored
MP000145,M00081,2024,2024-03-24,2024-12-31,Monthly flexible,480,0,480,196.8,Yes
MP000146,M00081,2025,2025-01-01,2025-12-31,Monthly flexible,480,0,480,196.8,Censored
MP000147,M00082,2022,2022-08-04,2022-12-31,Youth annual,300,0,300,93,Yes
MP000148,M00082,2023,2023-01-01,2023-12-31,Youth annual,300,0,300,93,Yes
MP000149,M00082,2024,2024-01-01,2024-12-31,Youth annual,300,0,300,93,No
MP000150,M00083,2022,2022-04-22,2022-12-31,Adult annual,540,50,490,215.6,Yes
MP000151,M00083,2023,2023-01-01,2023-12-31,Adult annual,540,0,540,237.6,No
MP000152,M00084,2024,2024-04-22,2024-12-31,Adult annual,540,0,540,237.6,Yes
MP000153,M00084,2025,2025-01-01,2025-12-31,Adult annual,540,50,490,215.6,Censored
MP000154,M00085,2025,2025-03-24,2025-12-31,Family annual,840,0,840,327.6,Censored
MP000155,M00086,2022,2022-03-19,2022-12-31,Monthly flexible,480,25,455,186.55,Yes
MP000156,M00086,2023,2023-01-01,2023-12-31,Monthly flexible,480,50,430,176.3,No
MP000157,M00087,2022,2022-08-18,2022-12-31,Monthly flexible,480,0,480,196.8,Yes
MP000158,M00087,2023,2023-01-01,2023-12-31,Monthly flexible,480,25,455,186.55,No
MP000159,M00088,2023,2023-03-08,2023-12-31,Family annual,840,25,815,317.85,No
MP000160,M00089,2022,2022-10-29,2022-12-31,Senior annual,390,0,390,140.4,Yes
MP000161,M00089,2023,2023-01-01,2023-12-31,Senior annual,390,50,340,122.4,Yes
MP000162,M00089,2024,2024-01-01,2024-12-31,Senior annual,390,75,315,113.4,Yes
MP000163,M00089,2025,2025-01-01,2025-12-31,Senior annual,390,0,390,140.4,Censored
MP000164,M00090,2023,2023-04-24,2023-12-31,Adult annual,540,0,540,237.6,Yes
MP000165,M00090,2024,2024-01-01,2024-12-31,Adult annual,540,0,540,237.6,Yes
MP000166,M00090,2025,2025-01-01,2025-12-31,Adult annual,540,0,540,237.6,Censored
MP000167,M00091,2024,2024-07-15,2024-12-31,Family annual,840,0,840,327.6,Yes
MP000168,M00091,2025,2025-01-01,2025-12-31,Family annual,840,0,840,327.6,Censored
MP000169,M00092,2024,2024-11-09,2024-12-31,Adult annual,540,25,515,226.6,Yes
MP000170,M00092,2025,2025-01-01,2025-12-31,Adult annual,540,0,540,237.6,Censored
MP000171,M00093,2024,2024-02-03,2024-12-31,Family annual,840,25,815,317.85,Yes
MP000172,M00093,2025,2025-01-01,2025-12-31,Family annual,840,0,840,327.6,Censored
MP000173,M00094,2022,2022-06-08,2022-12-31,Monthly flexible,480,0,480,196.8,Yes
MP000174,M00094,2023,2023-01-01,2023-12-31,Monthly flexible,480,25,455,186.55,No
MP000175,M00095,2023,2023-08-23,2023-12-31,Adult annual,540,0,540,237.6,Yes
MP000176,M00095,2024,2024-01-01,2024-12-31,Adult annual,540,25,515,226.6,Yes
MP000177,M00095,2025,2025-01-01,2025-12-31,Adult annual,540,0,540,237.6,Censored
MP000178,M00096,2023,2023-01-23,2023-12-31,Adult annual,540,0,540,237.6,Yes
MP000179,M00096,2024,2024-01-01,2024-12-31,Adult annual,540,0,540,237.6,Yes
MP000180,M00096,2025,2025-01-01,2025-12-31,Adult annual,540,50,490,215.6,Censored
MP000181,M00097,2024,2024-03-11,2024-12-31,Adult annual,540,75,465,204.6,Yes
MP000182,M00097,2025,2025-01-01,2025-12-31,Adult annual,540,25,515,226.6,Censored
MP000183,M00098,2024,2024-05-21,2024-12-31,Senior annual,390,0,390,140.4,Yes
MP000184,M00098,2025,2025-01-01,2025-12-31,Senior annual,390,0,390,140.4,Censored
MP000185,M00099,2022,2022-04-01,2022-12-31,Family annual,840,50,790,308.1,Yes
MP000186,M00099,2023,2023-01-01,2023-12-31,Family annual,840,0,840,327.6,Yes
MP000187,M00099,2024,2024-01-01,2024-12-31,Family annual,840,0,840,327.6,Yes
MP000188,M00099,2025,2025-01-01,2025-12-31,Family annual,840,0,840,327.6,Censored
MP000189,M00100,2024,2024-01-29,2024-12-31,Monthly flexible,480,0,480,196.8,No
MP000190,M00101,2023,2023-09-14,2023-12-31,Family annual,840,0,840,327.6,Yes
MP000191,M00101,2024,2024-01-01,2024-12-31,Family annual,840,50,790,308.1,Yes
MP000192,M00101,2025,2025-01-01,2025-12-31,Family annual,840,0,840,327.6,Censored
MP000193,M00102,2024,2024-05-31,2024-12-31,Family annual,840,0,840,327.6,No
MP000194,M00103,2024,2024-09-07,2024-12-31,Monthly flexible,480,0,480,196.8,No
MP000195,M00104,2023,2023-03-25,2023-12-31,Adult annual,540,0,540,237.6,Yes
MP000196,M00104,2024,2024-01-01,2024-12-31,Adult annual,540,50,490,215.6,Yes
MP000197,M00104,2025,2025-01-01,2025-12-31,Adult annual,540,0,540,237.6,Censored
MP000198,M00105,2022,2022-02-18,2022-12-31,Adult annual,540,0,540,237.6,Yes
MP000199,M00105,2023,2023-01-01,2023-12-31,Adult annual,540,50,490,215.6,Yes
MP000200,M00105,2024,2024-01-01,2024-12-31,Adult annual,540,0,540,237.6,No
MP000201,M00106,2023,2023-08-13,2023-12-31,Youth annual,300,25,275,85.25,Yes
MP000202,M00106,2024,2024-01-01,2024-12-31,Youth annual,300,0,300,93,Yes
MP000203,M00106,2025,2025-01-01,2025-12-31,Youth annual,300,0,300,93,Censored
MP000204,M00107,2022,2022-05-05,2022-12-31,Senior annual,390,0,390,140.4,Yes
MP000205,M00107,2023,2023-01-01,2023-12-31,Senior annual,390,0,390,140.4,Yes
MP000206,M00107,2024,2024-01-01,2024-12-31,Senior annual,390,25,365,131.4,Yes
MP000207,M00107,2025,2025-01-01,2025-12-31,Senior annual,390,0,390,140.4,Censored
MP000208,M00108,2022,2022-07-04,2022-12-31,Adult annual,540,0,540,237.6,Yes
MP000209,M00108,2023,2023-01-01,2023-12-31,Adult annual,540,50,490,215.6,Yes
MP000210,M00108,2024,2024-01-01,2024-12-31,Adult annual,540,0,540,237.6,No
MP000211,M00109,2022,2022-05-27,2022-12-31,Adult annual,540,0,540,237.6,Yes
MP000212,M00109,2023,2023-01-01,2023-12-31,Adult annual,540,0,540,237.6,Yes
MP000213,M00109,2024,2024-01-01,2024-12-31,Adult annual,540,0,540,237.6,Yes
MP000214,M00109,2025,2025-01-01,2025-12-31,Adult annual,540,50,490,215.6,Censored
MP000215,M00110,2022,2022-02-26,2022-12-31,Youth annual,300,0,300,93,Yes
MP000216,M00110,2023,2023-01-01,2023-12-31,Youth annual,300,0,300,93,Yes
MP000217,M00110,2024,2024-01-01,2024-12-31,Youth annual,300,0,300,93,Yes
MP000218,M00110,2025,2025-01-01,2025-12-31,Youth annual,300,0,300,93,Censored
MP000219,M00111,2024,2024-03-21,2024-12-31,Adult annual,540,0,540,237.6,Yes
MP000220,M00111,2025,2025-01-01,2025-12-31,Adult annual,540,0,540,237.6,Censored
MP000221,M00112,2024,2024-02-12,2024-12-31,Youth annual,300,0,300,93,Yes
MP000222,M00112,2025,2025-01-01,2025-12-31,Youth annual,300,0,300,93,Censored
MP000223,M00113,2022,2022-09-30,2022-12-31,Family annual,840,0,840,327.6,Yes
MP000224,M00113,2023,2023-01-01,2023-12-31,Family annual,840,0,840,327.6,Yes
MP000225,M00113,2024,2024-01-01,2024-12-31,Family annual,840,0,840,327.6,Yes
MP000226,M00113,2025,2025-01-01,2025-12-31,Family annual,840,0,840,327.6,Censored
MP000227,M00114,2023,2023-01-22,2023-12-31,Senior annual,390,0,390,140.4,Yes
MP000228,M00114,2024,2024-01-01,2024-12-31,Senior annual,390,0,390,140.4,Yes
MP000229,M00114,2025,2025-01-01,2025-12-31,Senior annual,390,0,390,140.4,Censored
MP000230,M00115,2025,2025-08-18,2025-12-31,Adult annual,540,25,515,226.6,Censored
MP000231,M00116,2024,2024-06-22,2024-12-31,Family annual,840,0,840,327.6,Yes
MP000232,M00116,2025,2025-01-01,2025-12-31,Family annual,840,75,765,298.35,Censored
MP000233,M00117,2023,2023-03-05,2023-12-31,Adult annual,540,0,540,237.6,Yes
MP000234,M00117,2024,2024-01-01,2024-12-31,Adult annual,540,0,540,237.6,No
MP000235,M00118,2023,2023-03-06,2023-12-31,Adult annual,540,0,540,237.6,No
MP000236,M00119,2024,2024-04-22,2024-12-31,Senior annual,390,0,390,140.4,Yes
MP000237,M00119,2025,2025-01-01,2025-12-31,Senior annual,390,25,365,131.4,Censored
MP000238,M00120,2023,2023-02-02,2023-12-31,Adult annual,540,50,490,215.6,Yes
MP000239,M00120,2024,2024-01-01,2024-12-31,Adult annual,540,0,540,237.6,Yes
MP000240,M00120,2025,2025-01-01,2025-12-31,Adult annual,540,0,540,237.6,Censored
MP000241,M00121,2025,2025-11-19,2025-12-31,Youth annual,300,0,300,93,Censored
MP000242,M00122,2025,2025-07-28,2025-12-31,Senior annual,390,0,390,140.4,Censored
MP000243,M00123,2022,2022-09-02,2022-12-31,Monthly flexible,480,0,480,196.8,Yes
MP000244,M00123,2023,2023-01-01,2023-12-31,Monthly flexible,480,25,455,186.55,Yes
MP000245,M00123,2024,2024-01-01,2024-12-31,Monthly flexible,480,0,480,196.8,Yes
MP000246,M00123,2025,2025-01-01,2025-12-31,Monthly flexible,480,0,480,196.8,Censored
MP000247,M00124,2024,2024-11-06,2024-12-31,Senior annual,390,25,365,131.4,Yes
MP000248,M00124,2025,2025-01-01,2025-12-31,Senior annual,390,0,390,140.4,Censored
MP000249,M00125,2022,2022-08-08,2022-12-31,Family annual,840,0,840,327.6,Yes
MP000250,M00125,2023,2023-01-01,2023-12-31,Family annual,840,0,840,327.6,Yes
MP000251,M00125,2024,2024-01-01,2024-12-31,Family annual,840,0,840,327.6,No
MP000252,M00126,2025,2025-07-27,2025-12-31,Senior annual,390,0,390,140.4,Censored
MP000253,M00127,2023,2023-05-04,2023-12-31,Senior annual,390,50,340,122.4,Yes
MP000254,M00127,2024,2024-01-01,2024-12-31,Senior annual,390,0,390,140.4,Yes
MP000255,M00127,2025,2025-01-01,2025-12-31,Senior annual,390,0,390,140.4,Censored
MP000256,M00128,2022,2022-09-22,2022-12-31,Adult annual,540,0,540,237.6,Yes
MP000257,M00128,2023,2023-01-01,2023-12-31,Adult annual,540,50,490,215.6,Yes
MP000258,M00128,2024,2024-01-01,2024-12-31,Adult annual,540,0,540,237.6,Yes
MP000259,M00128,2025,2025-01-01,2025-12-31,Adult annual,540,0,540,237.6,Censored
MP000260,M00129,2023,2023-05-06,2023-12-31,Youth annual,300,50,250,77.5,Yes
MP000261,M00129,2024,2024-01-01,2024-12-31,Youth annual,300,0,300,93,Yes
MP000262,M00129,2025,2025-01-01,2025-12-31,Youth annual,300,25,275,85.25,Censored
MP000263,M00130,2023,2023-08-02,2023-12-31,Monthly flexible,480,50,430,176.3,Yes
MP000264,M00130,2024,2024-01-01,2024-12-31,Monthly flexible,480,0,480,196.8,Yes
MP000265,M00130,2025,2025-01-01,2025-12-31,Monthly flexible,480,50,430,176.3,Censored
MP000266,M00131,2022,2022-09-01,2022-12-31,Adult annual,540,0,540,237.6,Yes
MP000267,M00131,2023,2023-01-01,2023-12-31,Adult annual,540,0,540,237.6,Yes
MP000268,M00131,2024,2024-01-01,2024-12-31,Adult annual,540,0,540,237.6,Yes
MP000269,M00131,2025,2025-01-01,2025-12-31,Adult annual,540,25,515,226.6,Censored
MP000270,M00132,2022,2022-07-10,2022-12-31,Family annual,840,0,840,327.6,Yes
MP000271,M00132,2023,2023-01-01,2023-12-31,Family annual,840,0,840,327.6,Yes
MP000272,M00132,2024,2024-01-01,2024-12-31,Family annual,840,50,790,308.1,Yes
MP000273,M00132,2025,2025-01-01,2025-12-31,Family annual,840,0,840,327.6,Censored
MP000274,M00133,2023,2023-03-06,2023-12-31,Senior annual,390,25,365,131.4,Yes
MP000275,M00133,2024,2024-01-01,2024-12-31,Senior annual,390,0,390,140.4,Yes
MP000276,M00133,2025,2025-01-01,2025-12-31,Senior annual,390,0,390,140.4,Censored
MP000277,M00134,2024,2024-08-03,2024-12-31,Monthly flexible,480,0,480,196.8,Yes
MP000278,M00134,2025,2025-01-01,2025-12-31,Monthly flexible,480,25,455,186.55,Censored
MP000279,M00135,2023,2023-11-10,2023-12-31,Family annual,840,0,840,327.6,No
MP000280,M00136,2024,2024-01-18,2024-12-31,Monthly flexible,480,0,480,196.8,No
MP000281,M00137,2023,2023-01-06,2023-12-31,Adult annual,540,50,490,215.6,Yes
MP000282,M00137,2024,2024-01-01,2024-12-31,Adult annual,540,75,465,204.6,No
MP000283,M00138,2022,2022-09-12,2022-12-31,Youth annual,300,0,300,93,No
MP000284,M00139,2023,2023-11-10,2023-12-31,Monthly flexible,480,0,480,196.8,No
MP000285,M00140,2024,2024-02-02,2024-12-31,Family annual,840,0,840,327.6,Yes
MP000286,M00140,2025,2025-01-01,2025-12-31,Family annual,840,50,790,308.1,Censored
MP000287,M00141,2023,2023-09-03,2023-12-31,Family annual,840,75,765,298.35,Yes
MP000288,M00141,2024,2024-01-01,2024-12-31,Family annual,840,25,815,317.85,Yes
MP000289,M00141,2025,2025-01-01,2025-12-31,Family annual,840,0,840,327.6,Censored
MP000290,M00142,2022,2022-02-28,2022-12-31,Monthly flexible,480,0,480,196.8,Yes
MP000291,M00142,2023,2023-01-01,2023-12-31,Monthly flexible,480,25,455,186.55,No
MP000292,M00143,2022,2022-09-20,2022-12-31,Family annual,840,0,840,327.6,No
MP000293,M00144,2024,2024-09-10,2024-12-31,Adult annual,540,0,540,237.6,No
MP000294,M00145,2022,2022-08-11,2022-12-31,Family annual,840,0,840,327.6,No
MP000295,M00146,2024,2024-07-06,2024-12-31,Senior annual,390,0,390,140.4,Yes
MP000296,M00146,2025,2025-01-01,2025-12-31,Senior annual,390,0,390,140.4,Censored
MP000297,M00147,2024,2024-02-24,2024-12-31,Family annual,840,25,815,317.85,Yes
MP000298,M00147,2025,2025-01-01,2025-12-31,Family annual,840,25,815,317.85,Censored
MP000299,M00148,2022,2022-07-13,2022-12-31,Family annual,840,0,840,327.6,Yes
MP000300,M00148,2023,2023-01-01,2023-12-31,Family annual,840,75,765,298.35,Yes
MP000301,M00148,2024,2024-01-01,2024-12-31,Family annual,840,25,815,317.85,Yes
MP000302,M00148,2025,2025-01-01,2025-12-31,Family annual,840,25,815,317.85,Censored
MP000303,M00149,2024,2024-07-22,2024-12-31,Adult annual,540,50,490,215.6,Yes
MP000304,M00149,2025,2025-01-01,2025-12-31,Adult annual,540,75,465,204.6,Censored
