response_id,campaign_id,member_id,contacted,clicked_or_engaged,converted_membership,attributed_revenue
CR0000111,C001,M00482,Yes,No,No,0
CR0000112,C001,M00620,Yes,No,No,0
CR0000113,C001,M00815,Yes,No,No,0
CR0000114,C001,M00016,Yes,No,No,0
CR0000115,C001,M00982,Yes,No,No,0
CR0000116,C001,M00813,Yes,No,No,0
CR0000117,C001,M00177,Yes,No,No,0
CR0000118,C001,M00342,Yes,No,No,0
CR0000119,C001,M01330,Yes,No,No,0
CR0000120,C001,M00610,Yes,No,No,0
CR0000121,C001,M01363,Yes,Yes,Yes,540
CR0000122,C001,M01087,Yes,No,No,0
CR0000123,C001,M00194,Yes,No,No,0
CR0000124,C001,M01034,Yes,Yes,No,0
CR0000125,C001,M00536,Yes,No,No,0
CR0000126,C001,M00049,Yes,No,No,0
CR0000127,C001,M01017,Yes,Yes,No,0
CR0000128,C001,M00010,Yes,No,No,0
CR0000129,C001,M00465,Yes,No,No,0
CR0000130,C001,M00709,Yes,No,No,0
CR0000131,C001,M01332,Yes,No,Yes,540
CR0000132,C001,M00630,Yes,No,No,0
CR0000133,C001,M00900,Yes,No,No,0
CR0000134,C001,M00043,Yes,No,No,0
CR0000135,C001,M00623,Yes,No,No,0
CR0000136,C001,M01186,Yes,Yes,No,0
CR0000137,C001,M01075,Yes,No,No,0
CR0000138,C001,M00910,Yes,No,No,0
CR0000139,C001,M00759,Yes,No,No,0
CR0000140,C001,M01184,Yes,No,No,0
CR0000141,C001,M00482,Yes,No,No,0
CR0000142,C001,M00368,Yes,No,No,0
CR0000143,C001,M01244,Yes,Yes,No,0
CR0000144,C001,M00408,Yes,No,No,0
CR0000145,C001,M00306,Yes,No,No,0
CR0000146,C001,M00168,Yes,Yes,No,0
CR0000147,C001,M00189,Yes,Yes,No,0
CR0000148,C001,M00318,Yes,Yes,No,0
CR0000149,C001,M00653,Yes,No,No,0
CR0000150,C001,M00336,Yes,No,No,0
CR0000151,C001,M01005,Yes,No,No,0
CR0000152,C001,M00018,Yes,No,No,0
CR0000153,C001,M01219,Yes,No,No,0
CR0000154,C001,M00480,Yes,Yes,No,0
CR0000155,C001,M00793,Yes,No,No,0
CR0000156,C001,M01329,Yes,No,No,0
CR0000157,C001,M01030,Yes,Yes,No,0
CR0000158,C001,M00337,Yes,No,No,0
CR0000159,C001,M00853,Yes,No,No,0
CR0000160,C001,M00282,Yes,Yes,No,0
CR0000161,C001,M01293,Yes,No,No,0
CR0000162,C001,M01176,Yes,No,No,0
CR0000163,C001,M01027,Yes,No,No,0
CR0000164,C001,M00155,Yes,No,No,0
CR0000165,C001,M00229,Yes,No,No,0
CR0000166,C001,M00578,Yes,Yes,No,0
CR0000167,C001,M00538,Yes,Yes,No,0
CR0000168,C001,M01053,Yes,No,No,0
CR0000169,C001,M00777,Yes,No,No,0
CR0000170,C001,M01266,Yes,No,No,0
CR0000171,C001,M01348,Yes,No,No,0
CR0000172,C001,M00069,Yes,Yes,No,0
CR0000173,C001,M00320,Yes,Yes,No,0
CR0000174,C001,M01351,Yes,No,No,0
CR0000175,C001,M00376,Yes,No,No,0
CR0000176,C001,M00158,Yes,No,No,0
CR0000177,C001,M00427,Yes,No,No,0
CR0000178,C001,M00672,Yes,No,No,0
CR0000179,C001,M01086,Yes,No,No,0
CR0000180,C001,M01096,Yes,No,No,0
CR0000181,C001,M00729,Yes,No,No,0
CR0000182,C001,M00921,Yes,Yes,No,0
CR0000183,C001,M00168,Yes,Yes,No,0
CR0000184,C001,M00220,Yes,No,No,0
CR0000185,C001,M00774,Yes,Yes,No,0
CR0000186,C001,M00540,Yes,No,No,0
CR0000187,C001,M00715,Yes,Yes,No,0
CR0000188,C001,M00508,Yes,Yes,No,0
CR0000189,C001,M01274,Yes,Yes,No,0
CR0000190,C001,M00795,Yes,No,No,0
CR0000191,C001,M00047,Yes,No,No,0
CR0000192,C001,M00588,Yes,Yes,No,0
CR0000193,C001,M00287,Yes,No,No,0
CR0000194,C001,M00245,Yes,No,No,0
CR0000195,C001,M01130,Yes,No,No,0
CR0000196,C001,M00692,Yes,No,No,0
CR0000197,C001,M00368,Yes,Yes,No,0
CR0000198,C001,M01307,Yes,No,No,0
CR0000199,C001,M00250,Yes,Yes,No,0
CR0000200,C001,M01196,Yes,No,No,0
CR0000201,C001,M01188,Yes,No,No,0
CR0000202,C001,M00580,Yes,No,No,0
CR0000203,C001,M00379,Yes,No,No,0
CR0000204,C001,M00296,Yes,No,No,0
CR0000205,C001,M00981,Yes,Yes,No,0
CR0000206,C001,M01325,Yes,No,Yes,480
CR0000207,C001,M00327,Yes,No,No,0
CR0000208,C001,M00281,Yes,No,No,0
CR0000209,C001,M01165,Yes,No,No,0
CR0000210,C001,M01354,Yes,No,No,0
CR0000211,C001,M00696,Yes,No,No,0
CR0000212,C001,M00337,Yes,No,No,0
CR0000213,C001,M01119,Yes,No,No,0
CR0000214,C001,M00195,Yes,No,Yes,840
CR0000215,C001,M00521,Yes,No,Yes,540
CR0000216,C001,M00299,Yes,Yes,No,0
CR0000217,C001,M00101,Yes,No,No,0
CR0000218,C001,M00329,Yes,No,No,0
CR0000219,C001,M00013,Yes,No,No,0
CR0000220,C001,M00367,Yes,No,No,0
CR0000221,C001,M00238,Yes,No,No,0
CR0000222,C001,M01047,Yes,No,No,0
CR0000223,C001,M00570,Yes,Yes,No,0
CR0000224,C001,M00501,Yes,No,No,0
CR0000225,C001,M00988,Yes,No,No,0
CR0000226,C001,M00713,Yes,No,No,0
CR0000227,C001,M00736,Yes,No,No,0
CR0000228,C001,M00227,Yes,No,Yes,390
CR0000229,C001,M00587,Yes,Yes,No,0
CR0000230,C001,M00887,Yes,No,No,0
CR0000231,C002,M00371,Yes,No,No,0
CR0000232,C002,M00072,Yes,No,No,0
CR0000233,C002,M01371,Yes,No,No,0
CR0000234,C002,M00526,Yes,No,Yes,390
CR0000235,C002,M01109,Yes,No,No,0
CR0000236,C002,M00016,Yes,No,No,0
CR0000237,C002,M01086,Yes,No,No,0
CR0000238,C002,M00320,Yes,Yes,No,0
CR0000239,C002,M00069,Yes,No,Yes,390
CR0000240,C002,M00333,Yes,No,No,0
CR0000241,C002,M00040,Yes,No,No,0
CR0000242,C002,M01124,Yes,No,No,0
CR0000243,C002,M00297,Yes,No,No,0
CR0000244,C002,M00131,Yes,No,No,0
CR0000245,C002,M00783,Yes,Yes,No,0
CR0000246,C002,M00603,Yes,No,Yes,390
CR0000247,C002,M01184,Yes,No,No,0
CR0000248,C002,M01288,Yes,No,No,0
CR0000249,C002,M00281,Yes,No,No,0
CR0000250,C002,M00831,Yes,No,No,0
CR0000251,C002,M00880,Yes,No,No,0
CR0000252,C002,M00339,Yes,No,No,0
CR0000253,C002,M01335,Yes,No,No,0
CR0000254,C002,M00481,Yes,No,No,0
CR0000255,C002,M00483,Yes,No,No,0
CR0000256,C002,M00024,Yes,No,No,0
CR0000257,C002,M00626,Yes,No,No,0
CR0000258,C002,M00767,Yes,No,Yes,480
CR0000259,C002,M00115,Yes,No,No,0
CR0000260,C002,M00423,Yes,No,No,0
CR0000261,C002,M00547,Yes,No,No,0
CR0000262,C002,M00152,Yes,No,No,0
CR0000263,C002,M00260,Yes,Yes,No,0
CR0000264,C002,M00670,Yes,No,No,0
CR0000265,C002,M00475,Yes,No,No,0
CR0000266,C002,M00595,Yes,No,No,0
CR0000267,C002,M00775,Yes,No,No,0
CR0000268,C002,M00768,Yes,No,Yes,540
CR0000269,C002,M00866,Yes,No,No,0
CR0000270,C002,M00539,Yes,No,No,0
CR0000271,C002,M00137,Yes,Yes,No,0
CR0000272,C002,M00891,Yes,No,No,0
CR0000273,C002,M01149,Yes,No,No,0
CR0000274,C002,M00658,Yes,No,No,0
CR0000275,C002,M00048,Yes,Yes,No,0
CR0000276,C002,M00026,Yes,No,No,0
CR0000277,C002,M00376,Yes,Yes,No,0
CR0000278,C002,M00743,Yes,No,Yes,300
CR0000279,C002,M01387,Yes,No,No,0
CR0000280,C002,M01099,Yes,No,No,0
CR0000281,C002,M01097,Yes,No,No,0
CR0000282,C002,M00560,Yes,No,Yes,840
CR0000283,C002,M00702,Yes,Yes,No,0
CR0000284,C002,M00892,Yes,Yes,No,0
CR0000285,C002,M01370,Yes,Yes,No,0
CR0000286,C002,M01342,Yes,No,No,0
CR0000287,C002,M00786,Yes,No,No,0
CR0000288,C002,M01032,Yes,No,No,0
CR0000289,C002,M00918,Yes,No,No,0
CR0000290,C002,M00520,Yes,No,No,0
CR0000291,C002,M00927,Yes,Yes,No,0
CR0000292,C002,M00703,Yes,No,No,0
CR0000293,C002,M00552,Yes,No,No,0
CR0000294,C002,M00365,Yes,No,Yes,840
CR0000295,C002,M00559,Yes,No,No,0
CR0000296,C002,M00115,Yes,No,No,0
CR0000297,C002,M00441,Yes,No,No,0
CR0000298,C002,M01210,Yes,No,No,0
CR0000299,C002,M01073,Yes,No,No,0
CR0000300,C002,M00076,Yes,No,Yes,480
CR0000301,C002,M00994,Yes,No,No,0
CR0000302,C002,M00190,Yes,No,No,0
CR0000303,C002,M01003,Yes,No,No,0
CR0000304,C002,M00903,Yes,No,No,0
CR0000305,C002,M00735,Yes,No,No,0
CR0000306,C002,M00714,Yes,No,Yes,540
CR0000307,C002,M01280,Yes,No,No,0
CR0000308,C002,M00089,Yes,No,No,0
CR0000309,C002,M00199,Yes,No,No,0
CR0000310,C002,M00804,Yes,No,No,0
CR0000311,C002,M01101,Yes,No,No,0
CR0000312,C002,M00874,Yes,No,No,0
CR0000313,C002,M01396,Yes,Yes,No,0
CR0000314,C002,M00318,Yes,No,No,0
CR0000315,C002,M01012,Yes,No,No,0
CR0000316,C002,M00624,Yes,No,No,0
CR0000317,C002,M00809,Yes,No,No,0
CR0000318,C002,M01228,Yes,No,No,0
CR0000319,C002,M00764,Yes,No,No,0
CR0000320,C002,M01349,Yes,No,No,0
CR0000321,C002,M00028,Yes,No,No,0
CR0000322,C002,M00578,Yes,No,No,0
CR0000323,C002,M00084,Yes,No,No,0
CR0000324,C002,M01095,Yes,Yes,No,0
CR0000325,C002,M00518,Yes,No,No,0
CR0000326,C002,M00001,Yes,No,Yes,540
CR0000327,C002,M00399,Yes,No,Yes,840
CR0000328,C002,M00960,Yes,No,No,0
CR0000329,C002,M00630,Yes,Yes,No,0
CR0000330,C002,M00316,Yes,No,No,0
CR0000331,C002,M01286,Yes,No,No,0
CR0000332,C002,M00851,Yes,No,No,0
CR0000333,C002,M00089,Yes,No,No,0
CR0000334,C002,M00155,Yes,No,No,0
CR0000335,C002,M00861,Yes,No,No,0
CR0000336,C002,M00067,Yes,No,No,0
CR0000337,C002,M00861,Yes,No,No,0
CR0000338,C002,M00638,Yes,No,No,0
CR0000339,C002,M00947,Yes,Yes,No,0
CR0000340,C002,M00859,Yes,Yes,No,0
CR0000341,C002,M01151,Yes,Yes,No,0
CR0000342,C002,M00678,Yes,No,No,0
CR0000343,C002,M00855,Yes,Yes,Yes,540
CR0000344,C002,M00226,Yes,No,No,0
CR0000345,C002,M00079,Yes,Yes,No,0
CR0000346,C002,M00902,Yes,Yes,No,0
CR0000347,C002,M01339,Yes,No,No,0
CR0000348,C002,M01021,Yes,No,No,0
CR0000349,C002,M00606,Yes,No,Yes,540
CR0000350,C002,M00669,Yes,No,Yes,840
CR0000351,C002,M01279,Yes,No,No,0
CR0000352,C002,M00296,Yes,No,No,0
CR0000353,C002,M01370,Yes,No,No,0
CR0000354,C002,M00013,Yes,No,No,0
CR0000355,C002,M01319,Yes,No,No,0
CR0000356,C002,M01353,Yes,Yes,No,0
CR0000357,C002,M01313,Yes,No,No,0
CR0000358,C002,M00743,Yes,Yes,No,0
CR0000359,C002,M00803,Yes,No,No,0
CR0000360,C002,M00034,Yes,No,No,0
CR0000361,C002,M01368,Yes,No,Yes,480
CR0000362,C002,M00281,Yes,No,No,0
CR0000363,C002,M01096,Yes,Yes,No,0
CR0000364,C002,M00405,Yes,No,No,0
CR0000365,C002,M00877,Yes,No,No,0
CR0000366,C002,M00630,Yes,No,No,0
CR0000367,C002,M00393,Yes,No,No,0
CR0000368,C002,M00081,Yes,No,No,0
CR0000369,C002,M00492,Yes,No,No,0
CR0000370,C002,M01342,Yes,Yes,No,0
CR0000371,C002,M00443,Yes,No,No,0
CR0000372,C002,M00251,Yes,Yes,No,0
CR0000373,C002,M00390,Yes,Yes,No,0
CR0000374,C002,M00235,Yes,No,No,0
CR0000375,C002,M00741,Yes,No,No,0
CR0000376,C002,M00200,Yes,Yes,No,0
CR0000377,C002,M00449,Yes,No,No,0
CR0000378,C002,M01040,Yes,Yes,No,0
CR0000379,C002,M00091,Yes,Yes,No,0
CR0000380,C002,M00286,Yes,No,No,0
CR0000381,C002,M00424,Yes,No,No,0
CR0000382,C002,M01211,Yes,No,No,0
CR0000383,C002,M00079,Yes,Yes,No,0
CR0000384,C002,M00157,Yes,No,No,0
CR0000385,C002,M00246,Yes,No,Yes,840
CR0000386,C002,M00607,Yes,No,No,0
CR0000387,C002,M01263,Yes,Yes,No,0
CR0000388,C002,M00949,Yes,No,No,0
CR0000389,C002,M01053,Yes,No,No,0
CR0000390,C002,M00657,Yes,No,No,0
CR0000391,C002,M01151,Yes,Yes,No,0
CR0000392,C002,M00811,Yes,No,No,0
CR0000393,C002,M00293,Yes,No,No,0
CR0000394,C002,M00585,Yes,No,No,0
CR0000395,C002,M00279,Yes,No,No,0
CR0000396,C002,M01028,Yes,No,No,0
CR0000397,C002,M00187,Yes,No,No,0
CR0000398,C002,M00402,Yes,No,Yes,390
CR0000399,C002,M00038,Yes,Yes,No,0
CR0000400,C002,M00535,Yes,No,No,0
CR0000401,C002,M00215,Yes,No,No,0
CR0000402,C002,M00337,Yes,No,No,0
CR0000403,C002,M00392,Yes,No,No,0
CR0000404,C002,M00246,Yes,No,No,0
CR0000405,C002,M00750,Yes,No,Yes,480
CR0000406,C002,M00785,Yes,Yes,No,0
CR0000407,C002,M00761,Yes,No,No,0
CR0000408,C002,M01027,Yes,No,Yes,540
CR0000409,C002,M00403,Yes,No,No,0
CR0000410,C002,M01076,Yes,No,No,0
CR0000411,C002,M01259,Yes,No,No,0
CR0000412,C002,M01391,Yes,No,No,0
CR0000413,C002,M00019,Yes,No,No,0
CR0000414,C002,M00367,Yes,No,No,0
CR0000415,C002,M01331,Yes,Yes,Yes,540
CR0000416,C002,M00064,Yes,No,No,0
CR0000417,C002,M00074,Yes,No,No,0
CR0000418,C002,M00877,Yes,No,No,0
CR0000419,C002,M01315,Yes,No,No,0
CR0000420,C002,M01114,Yes,No,No,0
CR0000421,C002,M00735,Yes,Yes,No,0
CR0000422,C002,M01331,Yes,Yes,No,0
CR0000423,C002,M01034,Yes,No,No,0
CR0000424,C002,M01260,Yes,Yes,No,0
CR0000425,C002,M00139,Yes,No,No,0
CR0000426,C002,M00574,Yes,No,No,0
CR0000427,C002,M00616,Yes,No,No,0
CR0000428,C002,M00204,Yes,No,No,0
CR0000429,C002,M00235,Yes,Yes,Yes,540
CR0000430,C002,M00324,Yes,No,No,0
CR0000431,C002,M00276,Yes,No,No,0
CR0000432,C002,M00914,Yes,No,No,0
CR0000433,C002,M00626,Yes,No,No,0
CR0000434,C002,M01088,Yes,No,No,0
CR0000435,C002,M01106,Yes,No,No,0
CR0000436,C002,M00454,Yes,No,No,0
CR0000437,C002,M00312,Yes,No,No,0
CR0000438,C002,M00142,Yes,Yes,No,0
CR0000439,C002,M00085,Yes,No,No,0
CR0000440,C002,M00048,Yes,No,No,0
CR0000441,C002,M00263,Yes,No,No,0
CR0000442,C002,M01390,Yes,No,No,0
CR0000443,C002,M00346,Yes,No,No,0
CR0000444,C002,M00871,Yes,No,No,0
CR0000445,C002,M00349,Yes,Yes,No,0
CR0000446,C002,M00649,Yes,No,No,0
CR0000447,C002,M00574,Yes,Yes,Yes,540
CR0000448,C002,M00674,Yes,No,No,0
CR0000449,C002,M01294,Yes,No,No,0
CR0000450,C002,M01043,Yes,No,No,0
CR0000451,C002,M01124,Yes,No,No,0
CR0000452,C002,M01127,Yes,Yes,No,0
CR0000453,C002,M01323,Yes,Yes,No,0
CR0000454,C002,M01055,Yes,No,No,0
CR0000455,C002,M01368,Yes,No,No,0
CR0000456,C002,M01024,Yes,No,No,0
CR0000457,C002,M00324,Yes,No,No,0
CR0000458,C002,M00587,Yes,No,No,0
CR0000459,C002,M00782,Yes,No,No,0
CR0000460,C002,M00411,Yes,Yes,No,0
CR0000461,C002,M00648,Yes,Yes,No,0
CR0000462,C002,M00655,Yes,No,No,0
CR0000463,C002,M00734,Yes,No,No,0
CR0000464,C002,M00726,Yes,No,No,0
CR0000465,C002,M00938,Yes,No,No,0
CR0000466,C002,M00300,Yes,No,No,0
CR0000467,C002,M00550,Yes,No,No,0
CR0000468,C002,M00739,Yes,No,No,0
CR0000469,C002,M00707,Yes,No,No,0
CR0000470,C002,M00024,Yes,No,No,0
CR0000471,C002,M01211,Yes,No,No,0
CR0000472,C002,M00456,Yes,No,No,0
CR0000473,C002,M00164,Yes,No,No,0
CR0000474,C002,M00211,Yes,No,No,0
CR0000475,C002,M00305,Yes,No,No,0
CR0000476,C002,M00496,Yes,No,No,0
CR0000477,C002,M01195,Yes,No,No,0
CR0000478,C002,M01203,Yes,No,No,0
CR0000479,C002,M00492,Yes,Yes,No,0
CR0000480,C002,M00919,Yes,No,No,0
CR0000481,C002,M00188,Yes,No,No,0
CR0000482,C002,M00068,Yes,No,No,0
CR0000483,C002,M00896,Yes,No,No,0
CR0000484,C002,M00292,Yes,No,No,0
CR0000485,C002,M00804,Yes,No,Yes,300
CR0000486,C002,M00730,Yes,No,Yes,540
CR0000487,C002,M01084,Yes,No,No,0
CR0000488,C002,M00824,Yes,No,Yes,540
CR0000489,C002,M00686,Yes,Yes,Yes,840
CR0000490,C002,M01120,Yes,No,No,0
CR0000491,C002,M01242,Yes,No,No,0
CR0000492,C002,M00217,Yes,No,No,0
CR0000493,C002,M00317,Yes,No,No,0
CR0000494,C002,M00522,Yes,No,No,0
CR0000495,C002,M00082,Yes,Yes,No,0
CR0000496,C002,M00432,Yes,No,No,0
CR0000497,C002,M01039,Yes,No,No,0
CR0000498,C002,M00476,Yes,No,Yes,540
CR0000499,C002,M00924,Yes,Yes,No,0
CR0000500,C002,M00275,Yes,Yes,No,0
CR0000501,C002,M01288,Yes,No,No,0
CR0000502,C002,M01235,Yes,No,No,0
CR0000503,C002,M00678,Yes,No,No,0
CR0000504,C002,M00980,Yes,No,No,0
CR0000505,C002,M00716,Yes,No,No,0
CR0000506,C002,M00095,Yes,No,No,0
CR0000507,C002,M01053,Yes,No,No,0
CR0000508,C002,M00348,Yes,No,No,0
CR0000509,C002,M01271,Yes,Yes,No,0
CR0000510,C002,M00806,Yes,No,No,0
CR0000511,C002,M00338,Yes,No,No,0
CR0000512,C002,M01160,Yes,No,No,0
CR0000513,C002,M00573,Yes,No,No,0
CR0000514,C002,M00064,Yes,No,No,0
CR0000515,C002,M00513,Yes,No,No,0
CR0000516,C002,M01159,Yes,No,No,0
CR0000517,C002,M00468,Yes,No,No,0
CR0000518,C002,M00130,Yes,Yes,No,0
CR0000519,C002,M00189,Yes,Yes,No,0
CR0000520,C002,M00506,Yes,No,Yes,540
CR0000521,C002,M00107,Yes,Yes,No,0
CR0000522,C002,M00672,Yes,No,No,0
CR0000523,C002,M00211,Yes,Yes,No,0
CR0000524,C002,M01196,Yes,No,No,0
CR0000525,C002,M01301,Yes,No,No,0
CR0000526,C002,M00808,Yes,No,Yes,840
CR0000527,C002,M00582,Yes,No,No,0
CR0000528,C002,M00149,Yes,No,No,0
CR0000529,C002,M00850,Yes,Yes,Yes,390
CR0000530,C002,M01339,Yes,No,No,0
CR0000531,C002,M00703,Yes,Yes,No,0
CR0000532,C002,M00860,Yes,No,Yes,390
CR0000533,C002,M00280,Yes,Yes,No,0
CR0000534,C002,M00524,Yes,Yes,Yes,540
CR0000535,C002,M01087,Yes,No,Yes,390
CR0000536,C002,M00844,Yes,Yes,No,0
CR0000537,C002,M01358,Yes,No,No,0
CR0000538,C002,M00732,Yes,Yes,No,0
CR0000539,C002,M00117,Yes,No,No,0
CR0000540,C002,M01137,Yes,No,No,0
CR0000541,C002,M00713,Yes,Yes,No,0
CR0000542,C002,M00542,Yes,Yes,No,0
CR0000543,C002,M01046,Yes,No,No,0
CR0000544,C002,M00011,Yes,No,No,0
CR0000545,C002,M00108,Yes,No,No,0
CR0000546,C002,M00153,Yes,No,Yes,480
CR0000547,C002,M00838,Yes,No,No,0
CR0000548,C002,M00795,Yes,No,No,0
CR0000549,C002,M00348,Yes,No,No,0
CR0000550,C002,M00698,Yes,No,No,0
CR0000551,C002,M00325,Yes,No,No,0
CR0000552,C002,M00009,Yes,Yes,No,0
CR0000553,C002,M01377,Yes,Yes,No,0
CR0000554,C002,M00142,Yes,No,No,0
CR0000555,C002,M00219,Yes,No,No,0
CR0000556,C002,M00195,Yes,No,No,0
CR0000557,C002,M01102,Yes,No,No,0
CR0000558,C002,M00665,Yes,Yes,No,0
CR0000559,C002,M00716,Yes,No,No,0
CR0000560,C002,M00008,Yes,No,No,0
CR0000561,C002,M00719,Yes,No,No,0
CR0000562,C002,M00838,Yes,Yes,No,0
CR0000563,C002,M00809,Yes,No,No,0
CR0000564,C002,M00955,Yes,No,No,0
CR0000565,C002,M00129,Yes,No,No,0
CR0000566,C002,M00163,Yes,No,No,0
CR0000567,C002,M00499,Yes,Yes,No,0
CR0000568,C002,M00674,Yes,No,Yes,300
CR0000569,C002,M01389,Yes,No,No,0
CR0000570,C002,M00288,Yes,No,No,0
CR0000571,C003,M01272,Yes,No,No,0
CR0000572,C003,M00282,Yes,No,No,0
CR0000573,C003,M00353,Yes,Yes,No,0
CR0000574,C003,M00487,Yes,No,No,0
CR0000575,C003,M00549,Yes,No,No,0
CR0000576,C003,M01342,Yes,Yes,No,0
CR0000577,C003,M00602,Yes,No,No,0
CR0000578,C003,M00010,Yes,No,No,0
CR0000579,C003,M01349,Yes,No,No,0
CR0000580,C003,M00613,Yes,No,No,0
CR0000581,C003,M00970,Yes,No,No,0
CR0000582,C003,M00638,Yes,No,Yes,840
CR0000583,C003,M00044,Yes,No,No,0
CR0000584,C003,M01224,Yes,No,No,0
CR0000585,C003,M00076,Yes,No,No,0
CR0000586,C003,M00457,Yes,No,No,0
CR0000587,C003,M00797,Yes,No,No,0
CR0000588,C003,M00092,Yes,No,No,0
CR0000589,C003,M00717,Yes,No,No,0
CR0000590,C003,M00118,Yes,No,No,0
