visit_id,member_id,visit_date,facility_id,service_category,check_in_hour,duration_minutes,source_system
V00000085,M00003,2024-07-20,F02,Fitness,18,85,Access control
V00000086,M00003,2024-07-07,F02,Gymnasium,19,74,Access control
V00000087,M00003,2024-07-17,F02,Open recreation,17,30,Access control
V00000088,M00003,2024-07-27,F02,Open recreation,20,107,Access control
V00000089,M00003,2024-07-20,F02,Fitness,10,118,Access control
V00000090,M00003,2024-07-12,F02,Aquatics,19,103,Access control
V00000091,M00003,2024-08-25,F02,Fitness,9,105,Access control
V00000092,M00003,2024-08-04,F02,Aquatics,20,85,Access control
V00000093,M00003,2024-08-13,F02,Gymnasium,12,31,Access control
V00000094,M00003,2024-09-21,F02,Fitness,7,68,Access control
V00000095,M00003,2024-09-18,F02,Gymnasium,19,59,Access control
V00000096,M00003,2024-09-09,F02,Aquatics,15,49,Access control
V00000097,M00003,2024-09-02,F02,Group class,12,122,Access control
V00000098,M00003,2024-10-18,F02,Fitness,7,32,Access control
V00000099,M00003,2024-10-11,F02,Gymnasium,19,43,Access control
V00000100,M00003,2024-10-27,F02,Group class,8,44,Access control
V00000101,M00003,2024-10-25,F02,Group class,7,66,Access control
V00000102,M00003,2024-11-25,F02,Fitness,11,110,Access control
V00000103,M00003,2024-11-21,F02,Gymnasium,9,90,Access control
V00000104,M00003,2024-12-11,F01,Group class,18,111,Access control
V00000105,M00003,2024-12-01,F02,Open recreation,17,112,Access control
V00000106,M00004,2025-01-21,F01,Fitness,19,116,Access control
V00000107,M00004,2025-01-22,F01,Fitness,18,72,Access control
V00000108,M00004,2025-01-18,F01,Group class,6,46,Access control
V00000109,M00004,2025-02-06,F01,Gymnasium,8,42,Access control
V00000110,M00004,2025-02-01,F01,Open recreation,19,122,Front desk entry
V00000111,M00004,2025-02-25,F01,Gymnasium,18,120,Access control
V00000112,M00004,2025-02-05,F01,Open recreation,19,44,Access control
V00000113,M00004,2025-02-11,F01,Gymnasium,11,56,Access control
V00000114,M00004,2025-02-12,F01,Group class,6,123,Access control
V00000115,M00004,2025-03-07,F01,Gymnasium,17,69,Access control
V00000116,M00004,2025-03-06,F01,Open recreation,18,101,Front desk entry
V00000117,M00004,2025-03-18,F01,Aquatics,18,90,Access control
V00000118,M00004,2025-03-14,F01,Aquatics,18,35,Front desk entry
V00000119,M00004,2025-03-05,F01,Aquatics,17,68,Access control
V00000120,M00004,2025-03-25,F01,Group class,7,45,Access control
V00000121,M00004,2025-04-24,F01,Aquatics,19,110,Access control
V00000122,M00004,2025-05-14,F01,Open recreation,16,66,Access control
V00000123,M00004,2025-05-09,F01,Fitness,20,51,Access control
V00000124,M00004,2025-06-16,F03,Group class,11,63,Access control
V00000125,M00004,2025-06-18,F01,Aquatics,8,47,Front desk entry
V00000126,M00004,2025-07-16,F01,Fitness,18,64,Access control
V00000127,M00004,2025-07-13,F04,Aquatics,18,55,Front desk entry
V00000128,M00004,2025-07-08,F01,Group class,11,31,Access control
V00000129,M00004,2025-08-06,F01,Fitness,12,31,Access control
V00000130,M00004,2025-08-04,F01,Fitness,17,48,Access control
V00000131,M00004,2025-08-23,F01,Group class,19,32,Access control
V00000132,M00004,2025-09-15,F01,Gymnasium,18,33,Access control
V00000133,M00004,2025-09-06,F01,Aquatics,19,122,Access control
V00000134,M00004,2025-09-11,F01,Fitness,19,129,Access control
V00000135,M00004,2025-09-20,F01,Fitness,18,129,Access control
V00000136,M00004,2025-09-21,F01,Aquatics,17,103,Access control
V00000137,M00004,2025-10-01,F01,Group class,11,64,Access control
V00000138,M00004,2025-10-13,F01,Gymnasium,8,,Access control
V00000139,M00004,2025-11-23,F01,Group class,18,116,Access control
V00000140,M00004,2025-11-07,F01,Aquatics,17,98,Access control
V00000141,M00004,2025-11-03,F01,Group class,20,53,Access control
V00000142,M00004,2025-11-12,F01,Open recreation,17,86,Access control
V00000143,M00004,2025-12-05,F01,Fitness,16,119,Front desk entry
V00000144,M00004,2025-12-21,F03,Fitness,15,127,Front desk entry
V00000145,M00004,2025-12-17,F01,Aquatics,6,93,Access control
V00000146,M00004,2025-12-17,F01,Gymnasium,7,72,Access control
V00000147,M00005,2024-05-19,F03,Fitness,6,130,Access control
V00000148,M00005,2024-05-15,F02,Group class,16,73,Access control
V00000149,M00005,2024-05-10,F02,Fitness,18,119,Access control
V00000150,M00005,2024-05-11,F02,Open recreation,19,93,Access control
V00000151,M00005,2024-06-11,F02,Fitness,16,65,Access control
V00000152,M00005,2024-08-12,F02,Fitness,17,116,Access control
V00000153,M00005,2024-08-16,F02,Group class,8,67,Access control
V00000154,M00005,2024-09-05,F02,Group class,9,36,Access control
V00000155,M00005,2024-09-25,F02,Fitness,20,40,Access control
V00000156,M00005,2024-10-12,F02,Group class,20,40,Access control
V00000157,M00005,2024-10-03,F02,Group class,7,98,Access control
V00000158,M00005,2024-11-06,F02,Fitness,20,89,Access control
V00000159,M00005,2024-11-24,F02,Aquatics,18,126,Access control
V00000160,M00005,2024-12-21,F02,Fitness,6,94,Access control
V00000161,M00005,2025-03-07,F02,Aquatics,16,43,Access control
V00000162,M00005,2025-03-17,F02,Fitness,18,34,Access control
V00000163,M00005,2025-03-18,F02,Fitness,18,127,Access control
V00000164,M00005,2025-04-01,F02,Fitness,17,120,Access control
V00000165,M00005,2025-04-26,F02,Group class,16,57,Access control
V00000166,M00005,2025-05-21,F02,Gymnasium,18,42,Access control
V00000167,M00005,2025-05-21,F02,Aquatics,10,37,Access control
V00000168,M00005,2025-05-26,F02,Fitness,10,115,Access control
V00000169,M00005,2025-07-02,F02,Open recreation,17,58,Access control
V00000170,M00005,2025-07-12,F02,Aquatics,20,127,Access control
V00000171,M00005,2025-07-10,F02,Fitness,17,50,Access control
V00000172,M00005,2025-08-11,F02,Aquatics,19,87,Access control
V00000173,M00005,2025-10-12,F02,Open recreation,19,110,Access control
V00000174,M00005,2025-11-11,F02,Aquatics,17,,Access control
V00000175,M00005,2025-11-14,F02,Aquatics,9,101,Access control
V00000176,M00005,2025-12-13,F02,Fitness,10,118,Access control
V00000177,M00005,2025-12-23,F02,Aquatics,18,34,Access control
V00000178,M00005,2025-12-21,F02,Group class,20,80,Access control
V00000179,M00006,2023-09-27,F01,Gymnasium,11,127,Access control
V00000180,M00006,2023-09-07,F01,Fitness,20,105,Access control
V00000181,M00006,2023-09-26,F02,Open recreation,16,66,Access control
V00000182,M00006,2023-09-20,F01,Aquatics,11,44,Front desk entry
V00000183,M00006,2023-09-17,F03,Aquatics,12,54,Access control
V00000184,M00006,2023-10-12,F01,Fitness,20,95,Access control
V00000185,M00006,2023-10-09,F01,Open recreation,8,109,Access control
V00000186,M00006,2023-11-02,F01,Open recreation,7,45,Access control
V00000187,M00006,2023-11-21,F01,Gymnasium,9,31,Access control
V00000188,M00006,2023-11-14,F01,Fitness,18,32,Access control
V00000189,M00006,2023-11-13,F01,Aquatics,19,87,Access control
V00000190,M00006,2023-12-16,F01,Gymnasium,18,117,Access control
V00000191,M00007,2022-02-20,F01,Open recreation,16,38,Access control
V00000192,M00007,2022-03-15,F01,Aquatics,18,89,Access control
V00000193,M00007,2022-04-15,F01,Fitness,17,94,Access control
V00000194,M00007,2022-05-16,F01,Fitness,8,47,Access control
V00000195,M00007,2022-05-13,F01,Group class,17,89,Access control
V00000196,M00007,2022-06-03,F01,Gymnasium,16,79,Access control
V00000197,M00007,2022-06-27,F01,Aquatics,9,77,Access control
V00000198,M00007,2022-06-20,F03,Fitness,16,44,Access control
V00000199,M00007,2022-08-19,F01,Gymnasium,8,77,Access control
V00000200,M00007,2022-08-18,F01,Group class,12,130,Access control
V00000201,M00007,2022-09-26,F01,Group class,19,89,Access control
V00000202,M00007,2022-09-21,F01,Aquatics,18,127,Access control
V00000203,M00007,2022-10-01,F01,Fitness,15,55,Access control
V00000204,M00007,2022-10-15,F01,Fitness,19,39,Access control
V00000205,M00007,2022-11-06,F01,Fitness,18,124,Access control
V00000206,M00007,2022-11-01,F01,Aquatics,16,59,Access control
V00000207,M00007,2022-12-26,F04,Group class,19,109,Access control
V00000208,M00007,2022-12-01,F01,Aquatics,19,92,Access control
V00000209,M00007,2022-12-05,F01,Fitness,18,86,Access control
V00000210,M00008,2022-01-21,F01,Group class,17,129,Access control
V00000211,M00008,2022-01-22,F04,Fitness,17,99,Access control
V00000212,M00008,2022-01-10,F01,Fitness,8,81,Access control
V00000213,M00008,2022-01-13,F01,Group class,20,125,Access control
V00000214,M00008,2022-01-27,F01,Gymnasium,11,105,Access control
V00000215,M00008,2022-02-01,F01,Aquatics,17,42,Access control
V00000216,M00008,2022-02-22,F01,Open recreation,6,30,Access control
V00000217,M00008,2022-02-27,F01,Aquatics,19,120,Access control
V00000218,M00008,2022-03-08,F04,Fitness,17,86,Access control
V00000219,M00008,2022-03-21,F01,Open recreation,10,102,Access control
V00000220,M00008,2022-03-04,F03,Fitness,20,109,Access control
V00000221,M00008,2022-03-27,F01,Gymnasium,18,94,Access control
V00000222,M00008,2022-03-08,F03,Gymnasium,15,63,Access control
V00000223,M00008,2022-03-03,F01,Open recreation,18,42,Access control
V00000224,M00008,2022-03-01,F01,Open recreation,11,32,Access control
V00000225,M00008,2022-04-03,F01,Open recreation,17,32,Access control
V00000226,M00008,2022-04-17,F01,Fitness,12,50,Access control
V00000227,M00008,2022-04-07,F01,Group class,16,36,Access control
V00000228,M00008,2022-05-17,F01,Aquatics,18,45,Access control
V00000229,M00008,2022-05-09,F01,Fitness,10,70,Access control
V00000230,M00008,2022-06-03,F01,Group class,15,41,Access control
V00000231,M00008,2022-06-12,F01,Group class,18,88,Access control
V00000232,M00008,2022-06-25,F01,Group class,15,75,Access control
V00000233,M00008,2022-06-01,F01,Gymnasium,20,77,Access control
V00000234,M00008,2022-06-23,F01,Aquatics,18,45,Access control
V00000235,M00008,2022-07-08,F01,Aquatics,17,106,Access control
V00000236,M00008,2022-08-03,F01,Fitness,17,93,Access control
V00000237,M00008,2022-08-02,F01,Open recreation,18,56,Access control
V00000238,M00008,2022-08-07,F01,Gymnasium,19,124,Access control
V00000239,M00008,2022-08-15,F01,Fitness,15,104,Access control
V00000240,M00008,2022-09-01,F01,Gymnasium,15,95,Access control
V00000241,M00008,2022-09-20,F01,Aquatics,20,56,Access control
V00000242,M00008,2022-09-26,F01,Aquatics,8,75,Access control
V00000243,M00008,2022-09-06,F01,Open recreation,12,90,Access control
V00000244,M00008,2022-09-23,F03,Fitness,18,116,Access control
V00000245,M00008,2022-09-03,F02,Fitness,18,54,Access control
V00000246,M00008,2022-09-15,F01,Fitness,19,52,Access control
V00000247,M00008,2022-09-06,F01,Fitness,9,40,Access control
V00000248,M00008,2022-10-25,F01,Group class,15,110,Access control
V00000249,M00008,2022-10-12,F01,Aquatics,10,87,Access control
V00000250,M00008,2022-10-06,F01,Group class,15,31,Access control
V00000251,M00008,2022-10-01,F01,Fitness,18,63,Access control
V00000252,M00008,2022-10-09,F01,Open recreation,18,65,Access control
V00000253,M00008,2022-10-08,F01,Aquatics,17,36,Access control
V00000254,M00008,2022-11-17,F01,Open recreation,16,112,Access control
V00000255,M00008,2022-12-07,F01,Open recreation,17,111,Access control
V00000256,M00008,2022-12-17,F01,Aquatics,16,86,Front desk entry
V00000257,M00008,2022-12-15,F01,Gymnasium,17,58,Access control
V00000258,M00008,2022-12-24,F01,Fitness,12,36,Access control
V00000259,M00008,2022-12-07,F01,Fitness,9,35,Front desk entry
V00000260,M00009,2024-04-08,F01,Gymnasium,9,89,Access control
V00000261,M00009,2024-04-02,F01,Aquatics,6,123,Access control
V00000262,M00009,2024-04-10,F01,Group class,7,85,Access control
V00000263,M00009,2024-04-22,F01,Fitness,18,86,Access control
V00000264,M00009,2024-05-14,F01,Aquatics,16,128,Access control
V00000265,M00009,2024-06-27,F01,Aquatics,9,51,Access control
V00000266,M00009,2024-06-12,F01,Open recreation,17,56,Access control
V00000267,M00009,2024-06-08,F03,Open recreation,10,86,Front desk entry
V00000268,M00009,2024-07-06,F01,Gymnasium,11,110,Access control
V00000269,M00009,2024-07-10,F01,Fitness,18,61,Access control
V00000270,M00009,2024-08-21,F01,Aquatics,19,39,Access control
V00000271,M00009,2024-08-09,F01,Gymnasium,12,48,Access control
V00000272,M00009,2024-09-23,F01,Gymnasium,19,95,Access control
V00000273,M00009,2024-09-18,F02,Aquatics,18,56,Access control
V00000274,M00009,2024-09-21,F01,Open recreation,10,57,Access control
V00000275,M00009,2024-10-14,F01,Open recreation,6,70,Access control
V00000276,M00009,2024-10-03,F01,Fitness,7,54,Access control
V00000277,M00009,2024-10-23,F01,Aquatics,19,125,Access control
V00000278,M00009,2024-11-22,F01,Open recreation,7,89,Access control
V00000279,M00009,2024-11-05,F01,Aquatics,15,72,Access control
V00000280,M00009,2024-12-24,F04,Group class,17,129,Access control
V00000281,M00009,2024-12-09,F01,Fitness,19,49,Access control
V00000282,M00009,2024-12-03,F01,Fitness,11,87,Access control
V00000283,M00009,2025-01-09,F01,Fitness,17,34,Access control
V00000284,M00009,2025-01-21,F01,Aquatics,17,91,Access control
V00000285,M00009,2025-01-04,F02,Aquatics,18,95,Access control
V00000286,M00009,2025-01-24,F03,Fitness,8,59,Access control
V00000287,M00009,2025-01-19,F01,Group class,6,69,Access control
V00000288,M00009,2025-02-02,F01,Aquatics,19,106,Access control
V00000289,M00009,2025-02-08,F01,Fitness,20,46,Access control
V00000290,M00009,2025-03-25,F01,Group class,8,50,Access control
V00000291,M00009,2025-03-16,F01,Fitness,15,49,Access control
V00000292,M00009,2025-03-24,F01,Fitness,17,32,Front desk entry
V00000293,M00009,2025-03-03,F01,Gymnasium,6,94,Access control
V00000294,M00009,2025-04-04,F02,Fitness,7,101,Access control
V00000295,M00009,2025-04-26,F01,Fitness,7,93,Access control
V00000296,M00009,2025-05-05,F01,Aquatics,16,44,Front desk entry
V00000297,M00009,2025-05-04,F03,Aquatics,15,66,Front desk entry
V00000298,M00009,2025-05-05,F01,Open recreation,7,61,Access control
V00000299,M00009,2025-06-05,F01,Gymnasium,17,92,Access control
V00000300,M00009,2025-06-21,F01,Fitness,19,121,Access control
V00000301,M00009,2025-07-01,F02,Gymnasium,16,129,Access control
V00000302,M00009,2025-07-25,F01,Fitness,18,30,Front desk entry
V00000303,M00009,2025-07-27,F01,Fitness,12,72,Access control
V00000304,M00009,2025-08-03,F04,Aquatics,6,61,Access control
V00000305,M00009,2025-09-24,F01,Aquatics,20,65,Access control
V00000306,M00009,2025-09-12,F01,Aquatics,18,37,Access control
V00000307,M00009,2025-10-27,F01,Aquatics,16,70,Access control
V00000308,M00009,2025-10-09,F01,Aquatics,10,45,Access control
V00000309,M00009,2025-10-15,F01,Open recreation,6,67,Access control
V00000310,M00009,2025-10-08,F01,Open recreation,15,83,Access control
V00000311,M00009,2025-11-08,F01,Aquatics,17,40,Access control
V00000312,M00009,2025-11-01,F01,Open recreation,19,112,Access control
V00000313,M00009,2025-11-23,F01,Group class,19,111,Access control
V00000314,M00009,2025-11-27,F03,Group class,17,67,Access control
V00000315,M00009,2025-11-21,F01,Aquatics,7,75,Access control
V00000316,M00009,2025-11-01,F01,Fitness,20,78,Access control
V00000317,M00009,2025-12-07,F01,Aquatics,11,101,Access control
V00000318,M00009,2025-12-20,F01,Fitness,6,72,Access control
V00000319,M00010,2024-02-20,F04,Fitness,18,,Access control
V00000320,M00010,2024-02-13,F03,Open recreation,18,77,Access control
V00000321,M00010,2024-03-18,F03,Aquatics,6,67,Access control
V00000322,M00010,2024-06-02,F03,Group class,17,92,Access control
V00000323,M00010,2024-11-15,F03,Open recreation,18,106,Access control
V00000324,M00011,2022-08-22,F02,Open recreation,19,72,Access control
V00000325,M00011,2022-10-19,F01,Aquatics,19,120,Access control
V00000326,M00011,2022-10-23,F03,Fitness,7,101,Access control
V00000327,M00011,2022-10-23,F02,Group class,18,95,Access control
V00000328,M00011,2022-10-19,F04,Group class,6,127,Access control
V00000329,M00011,2022-10-10,F02,Open recreation,16,88,Access control
V00000330,M00011,2022-11-03,F02,Group class,19,109,Access control
V00000331,M00011,2022-11-18,F02,Fitness,8,109,Access control
V00000332,M00011,2022-11-15,F02,Group class,17,110,Access control
V00000333,M00011,2022-11-06,F02,Gymnasium,17,106,Access control
V00000334,M00011,2022-12-04,F02,Fitness,18,104,Access control
V00000335,M00011,2022-12-27,F02,Gymnasium,12,52,Access control
V00000336,M00011,2023-01-21,F02,Aquatics,15,54,Access control
V00000337,M00011,2023-01-25,F02,Open recreation,7,84,Front desk entry
V00000338,M00011,2023-01-25,F02,Group class,20,72,Access control
V00000339,M00011,2023-01-19,F03,Aquatics,19,45,Access control
V00000340,M00011,2023-01-27,F02,Aquatics,9,121,Access control
V00000341,M00011,2023-02-20,F02,Group class,20,50,Access control
V00000342,M00011,2023-02-15,F02,Fitness,17,116,Access control
V00000343,M00011,2023-03-24,F02,Open recreation,7,46,Access control
V00000344,M00011,2023-04-09,F02,Gymnasium,16,106,Front desk entry
V00000345,M00011,2023-04-17,F02,Gymnasium,17,73,Access control
V00000346,M00011,2023-04-18,F02,Fitness,9,69,Access control
V00000347,M00011,2023-04-22,F02,Gymnasium,19,60,Access control
V00000348,M00011,2023-04-04,F02,Fitness,17,90,Access control
V00000349,M00011,2023-05-24,F02,Fitness,10,41,Access control
V00000350,M00011,2023-05-20,F02,Gymnasium,18,33,Access control
V00000351,M00011,2023-06-19,F02,Fitness,16,74,Access control
V00000352,M00011,2023-06-21,F02,Fitness,7,39,Access control
V00000353,M00011,2023-06-05,F02,Open recreation,12,61,Access control
V00000354,M00011,2023-07-26,F02,Open recreation,8,82,Access control
V00000355,M00011,2023-08-05,F02,Fitness,17,50,Access control
V00000356,M00011,2023-09-16,F02,Group class,19,87,Access control
V00000357,M00011,2023-09-15,F02,Aquatics,18,53,Access control
V00000358,M00011,2023-09-20,F04,Open recreation,16,72,Front desk entry
V00000359,M00011,2023-09-17,F02,Gymnasium,12,82,Access control
V00000360,M00011,2023-10-12,F03,Group class,16,118,Access control
V00000361,M00011,2023-11-21,F02,Aquatics,18,38,Access control
V00000362,M00011,2023-11-23,F02,Fitness,12,113,Access control
V00000363,M00011,2023-11-17,F02,Aquatics,19,118,Access control
V00000364,M00011,2023-12-27,F02,Fitness,19,96,Access control
V00000365,M00011,2023-12-03,F02,Aquatics,19,46,Access control
V00000366,M00011,2024-01-13,F04,Fitness,18,51,Access control
V00000367,M00011,2024-01-18,F02,Fitness,7,82,Access control
V00000368,M00011,2024-02-12,F02,Fitness,18,105,Access control
V00000369,M00011,2024-02-09,F02,Fitness,16,101,Access control
V00000370,M00011,2024-02-23,F02,Fitness,16,121,Access control
V00000371,M00011,2024-02-23,F02,Aquatics,19,101,Access control
V00000372,M00011,2024-03-19,F02,Fitness,10,79,Access control
V00000373,M00011,2024-03-06,F02,Open recreation,7,87,Access control
V00000374,M00011,2024-03-15,F01,Gymnasium,19,51,Access control
V00000375,M00011,2024-04-24,F02,Aquatics,10,54,Access control
V00000376,M00011,2024-04-04,F02,Fitness,6,34,Access control
V00000377,M00011,2024-04-16,F02,Fitness,19,35,Access control
V00000378,M00011,2024-04-25,F02,Group class,17,91,Access control
V00000379,M00011,2024-04-17,F02,Gymnasium,17,91,Access control
V00000380,M00011,2024-04-13,F02,Fitness,15,130,Access control
V00000381,M00011,2024-04-26,F02,Fitness,11,113,Access control
V00000382,M00011,2024-05-23,F02,Open recreation,18,83,Access control
V00000383,M00011,2024-05-02,F02,Open recreation,19,95,Access control
V00000384,M00011,2024-06-23,F02,Group class,18,68,Access control
V00000385,M00011,2024-06-03,F02,Group class,11,60,Front desk entry
V00000386,M00011,2024-06-18,F02,Gymnasium,12,88,Access control
V00000387,M00011,2024-06-03,F02,Fitness,18,126,Access control
V00000388,M00011,2024-07-25,F02,Gymnasium,17,79,Access control
V00000389,M00011,2024-08-20,F02,Open recreation,9,48,Access control
V00000390,M00011,2024-08-26,F04,Fitness,19,30,Access control
V00000391,M00011,2024-08-15,F02,Group class,18,59,Access control
V00000392,M00011,2024-09-09,F02,Aquatics,12,129,Access control
V00000393,M00011,2024-09-01,F02,Fitness,19,126,Access control
V00000394,M00011,2024-10-21,F02,Fitness,19,38,Access control
V00000395,M00011,2024-10-18,F02,Gymnasium,17,32,Access control
V00000396,M00011,2024-10-03,F02,Group class,18,91,Access control
V00000397,M00011,2024-10-03,F02,Fitness,10,90,Access control
V00000398,M00011,2024-11-09,F02,Fitness,17,55,Access control
V00000399,M00011,2024-11-10,F02,Aquatics,19,112,Access control
V00000400,M00011,2024-11-04,F01,Fitness,16,104,Access control
V00000401,M00011,2024-12-25,F02,Fitness,19,106,Access control
V00000402,M00011,2024-12-22,F02,Gymnasium,16,52,Access control
V00000403,M00011,2025-01-19,F02,Aquatics,17,52,Access control
V00000404,M00011,2025-01-01,F02,Gymnasium,8,63,Access control
V00000405,M00011,2025-01-27,F02,Open recreation,18,125,Access control
V00000406,M00011,2025-01-08,F02,Group class,18,35,Access control
V00000407,M00011,2025-02-26,F02,Gymnasium,18,98,Access control
V00000408,M00011,2025-02-20,F02,Open recreation,19,120,Access control
V00000409,M00011,2025-02-26,F02,Aquatics,7,,Access control
V00000410,M00011,2025-02-01,F02,Fitness,17,56,Access control
V00000411,M00011,2025-02-27,F02,Fitness,10,85,Front desk entry
V00000412,M00011,2025-03-11,F04,Aquatics,18,74,Access control
V00000413,M00011,2025-03-27,F02,Fitness,10,40,Access control
V00000414,M00011,2025-04-02,F02,Aquatics,8,44,Access control
V00000415,M00011,2025-04-01,F02,Open recreation,6,78,Access control
V00000416,M00011,2025-04-20,F02,Fitness,18,37,Access control
V00000417,M00011,2025-04-13,F02,Gymnasium,10,125,Access control
V00000418,M00011,2025-04-17,F02,Gymnasium,19,83,Access control
V00000419,M00011,2025-05-15,F03,Fitness,17,99,Access control
V00000420,M00011,2025-05-26,F02,Aquatics,9,70,Access control
V00000421,M00011,2025-05-19,F02,Gymnasium,18,91,Access control
V00000422,M00011,2025-06-25,F02,Aquatics,7,43,Access control
V00000423,M00011,2025-06-14,F02,Fitness,17,96,Access control
V00000424,M00011,2025-06-16,F01,Aquatics,16,47,Access control
V00000425,M00011,2025-07-19,F02,Aquatics,6,76,Access control
