registration_id,program_id,member_id,registration_date,registration_status,amount_paid
R0000112,P20230105,M00240,2023-01-01,Completed,75
R0000113,P20230105,M01090,2023-01-01,Completed,80
R0000114,P20230105,M01180,2023-01-02,No-show,90
R0000115,P20230105,M00031,2023-01-06,Completed,80
R0000116,P20230105,M00490,2023-01-08,Cancelled,90
R0000117,P20230105,M00665,2023-01-09,Completed,80
R0000118,P20230105,M01044,2023-01-18,Completed,80
R0000119,P20230105,M00970,2023-01-02,Completed,90
R0000120,P20230105,M00896,2023-01-10,Completed,90
R0000121,P20230105,M01203,2023-01-12,Completed,90
R0000122,P20230105,M00423,2023-01-02,Completed,90
R0000123,P20230105,M00709,2023-01-06,Completed,80
R0000124,P20230105,M00557,2023-01-11,Completed,80
R0000125,P20230105,M00036,2023-01-10,Completed,90
R0000126,P20230105,M00511,2023-01-14,Completed,80
R0000127,P20230105,M01399,2023-01-08,Cancelled,80
R0000128,P20230105,M00323,2023-01-04,Completed,90
R0000129,P20230105,M01293,2023-01-14,Completed,75
R0000130,P20230105,M00250,2023-01-14,Completed,80
R0000131,P20230105,M00230,2023-01-02,Completed,90
R0000132,P20230105,M00413,2023-01-07,Completed,90
R0000133,P20230106,M00406,2023-08-13,Completed,35
R0000134,P20230106,M00576,2023-08-08,Completed,30
R0000135,P20230106,M01397,2023-08-08,Completed,45
R0000136,P20230106,M01013,2023-08-21,Completed,45
R0000137,P20230106,M00395,2023-08-07,Completed,35
R0000138,P20230106,M00361,2023-08-10,Completed,45
R0000139,P20230106,M01275,2023-08-25,Completed,35
R0000140,P20230106,M00571,2023-08-04,Completed,45
R0000141,P20230106,M00357,2023-08-04,Completed,45
R0000142,P20230106,M00418,2023-08-07,No-show,35
R0000143,P20230106,M00126,2023-08-24,Completed,45
R0000144,P20230106,M01334,2023-08-05,Completed,30
R0000145,P20230106,M00794,2023-08-17,Completed,45
R0000146,P20230106,M00566,2023-08-03,Cancelled,30
R0000147,P20230106,M00006,2023-08-08,Cancelled,45
R0000148,P20230107,M00446,2023-03-09,Cancelled,75
R0000149,P20230107,M00555,2023-03-12,Completed,80
R0000150,P20230107,M00817,2023-03-14,Completed,80
R0000151,P20230107,M00526,2023-03-14,Completed,90
R0000152,P20230107,M00524,2023-03-15,Completed,75
R0000153,P20230107,M01061,2023-03-11,Completed,90
R0000154,P20230107,M01371,2023-03-02,Cancelled,75
R0000155,P20230107,M00415,2023-03-18,No-show,90
R0000156,P20230107,M01182,2023-03-12,Completed,80
R0000157,P20230107,M00734,2023-03-05,Cancelled,75
R0000158,P20230107,M00652,2023-03-11,Completed,90
R0000159,P20230107,M00859,2023-03-18,Completed,90
R0000160,P20230107,M00047,2023-03-12,Completed,75
R0000161,P20230107,M01271,2023-03-10,Completed,90
R0000162,P20230107,M00405,2023-03-05,Completed,80
R0000163,P20230107,M00145,2023-03-04,Completed,80
R0000164,P20230107,M00461,2023-03-21,Completed,75
R0000165,P20230107,M00292,2023-03-17,Completed,90
R0000166,P20230107,M01392,2023-03-24,Completed,90
R0000167,P20230107,M00959,2023-03-20,Completed,90
R0000168,P20230107,M01353,2023-03-22,Completed,90
R0000169,P20230107,M00301,2023-03-19,Completed,90
R0000170,P20230107,M00091,2023-03-11,Completed,90
R0000171,P20230107,M00570,2023-03-14,Completed,90
R0000172,P20230108,M00461,2023-06-02,Completed,120
R0000173,P20230108,M00634,2023-06-19,Completed,105
R0000174,P20230108,M01310,2023-06-12,Completed,120
R0000175,P20230108,M00547,2023-06-14,Completed,120
R0000176,P20230108,M00672,2023-06-19,Completed,120
R0000177,P20230108,M00059,2023-06-15,Completed,120
R0000178,P20230108,M00168,2023-06-08,Completed,120
R0000179,P20230108,M01316,2023-06-04,Completed,120
R0000180,P20230108,M00826,2023-06-18,Completed,120
R0000181,P20230108,M00889,2023-06-11,Completed,120
R0000182,P20230108,M00950,2023-06-19,Cancelled,120
R0000183,P20230108,M01263,2023-06-20,Completed,120
R0000184,P20230201,M00450,2023-04-21,Completed,90
R0000185,P20230201,M00645,2023-04-14,Completed,75
R0000186,P20230201,M00267,2023-04-02,Completed,90
R0000187,P20230201,M00453,2023-04-17,Completed,90
R0000188,P20230201,M01266,2023-04-10,Cancelled,75
R0000189,P20230201,M00145,2023-04-25,Completed,75
R0000190,P20230201,M00773,2023-04-19,Cancelled,90
R0000191,P20230201,M00714,2023-04-24,Completed,90
R0000192,P20230201,M00196,2023-04-06,Completed,75
R0000193,P20230201,M00817,2023-04-04,Completed,75
R0000194,P20230201,M00488,2023-04-05,Completed,90
R0000195,P20230201,M00136,2023-04-05,Completed,80
R0000196,P20230201,M01293,2023-04-21,Completed,90
R0000197,P20230201,M00385,2023-04-22,Cancelled,90
R0000198,P20230202,M01214,2023-04-12,Completed,80
R0000199,P20230202,M00503,2023-04-18,Completed,90
R0000200,P20230202,M00545,2023-04-07,Completed,90
R0000201,P20230202,M00523,2023-04-20,Completed,90
R0000202,P20230202,M00965,2023-04-16,Completed,90
R0000203,P20230202,M00468,2023-04-15,Cancelled,90
R0000204,P20230202,M00956,2023-04-18,Completed,75
R0000205,P20230202,M00208,2023-04-01,Completed,80
R0000206,P20230202,M01218,2023-04-16,No-show,80
R0000207,P20230202,M00022,2023-04-12,Completed,90
R0000208,P20230202,M01315,2023-04-06,Completed,90
R0000209,P20230202,M00220,2023-04-23,Completed,80
R0000210,P20230202,M00311,2023-04-14,Completed,80
R0000211,P20230202,M00793,2023-04-24,Completed,90
R0000212,P20230202,M00169,2023-04-11,Cancelled,80
R0000213,P20230202,M00228,2023-04-18,Cancelled,75
R0000214,P20230202,M01180,2023-04-21,Completed,90
R0000215,P20230202,M01185,2023-04-16,Completed,75
R0000216,P20230202,M00039,2023-04-22,Completed,80
R0000217,P20230202,M00699,2023-04-06,Completed,90
R0000218,P20230202,M00346,2023-04-07,Completed,75
R0000219,P20230202,M01202,2023-04-24,Cancelled,90
R0000220,P20230202,M00797,2023-04-02,Completed,80
R0000221,P20230202,M00947,2023-04-05,Completed,75
R0000222,P20230202,M00080,2023-04-23,Completed,90
R0000223,P20230202,M00635,2023-04-24,Cancelled,90
R0000224,P20230202,M01221,2023-04-15,Completed,80
R0000225,P20230202,M01150,2023-04-06,Completed,75
R0000226,P20230202,M00980,2023-04-18,Completed,90
R0000227,P20230202,M01003,2023-04-08,Completed,90
R0000228,P20230202,M00838,2023-04-18,Completed,75
R0000229,P20230202,M00619,2023-04-19,No-show,90
R0000230,P20230202,M00552,2023-04-15,No-show,90
R0000231,P20230202,M01094,2023-04-19,No-show,90
R0000232,P20230202,M00902,2023-04-24,Completed,90
R0000233,P20230202,M00996,2023-04-20,Completed,90
R0000234,P20230202,M01060,2023-04-02,Completed,90
R0000235,P20230202,M01393,2023-04-06,Completed,90
R0000236,P20230202,M00079,2023-04-02,Completed,75
R0000237,P20230202,M01226,2023-04-17,Completed,90
R0000238,P20230203,M00711,2023-09-24,Completed,90
R0000239,P20230203,M00652,2023-09-17,Completed,80
R0000240,P20230203,M00484,2023-09-23,Cancelled,90
R0000241,P20230203,M00487,2023-09-15,Cancelled,90
R0000242,P20230203,M00822,2023-09-14,Completed,90
R0000243,P20230203,M00188,2023-09-12,Completed,80
R0000244,P20230203,M00064,2023-09-09,Cancelled,90
R0000245,P20230203,M00605,2023-09-05,Completed,90
R0000246,P20230203,M00130,2023-09-08,Completed,90
R0000247,P20230203,M00350,2023-09-03,Completed,80
R0000248,P20230203,M00830,2023-09-24,Completed,90
R0000249,P20230203,M01273,2023-09-08,Completed,80
R0000250,P20230203,M01083,2023-09-13,Completed,90
R0000251,P20230203,M00541,2023-09-17,Completed,90
R0000252,P20230203,M00940,2023-09-13,Cancelled,80
R0000253,P20230203,M00149,2023-09-19,Completed,90
R0000254,P20230203,M00229,2023-09-18,Completed,90
R0000255,P20230203,M00855,2023-09-25,Completed,80
R0000256,P20230203,M00099,2023-09-08,Completed,90
R0000257,P20230203,M00975,2023-09-04,Completed,90
R0000258,P20230203,M01321,2023-09-10,Completed,75
R0000259,P20230203,M00053,2023-09-12,Completed,75
R0000260,P20230203,M00507,2023-09-25,Completed,90
R0000261,P20230203,M01247,2023-09-10,Completed,90
R0000262,P20230204,M01368,2023-04-13,Completed,120
R0000263,P20230204,M00373,2023-04-12,Completed,110
R0000264,P20230204,M00522,2023-04-13,Completed,110
R0000265,P20230204,M01065,2023-04-07,Completed,105
R0000266,P20230204,M01343,2023-04-11,Completed,110
R0000267,P20230204,M00066,2023-04-23,Completed,120
R0000268,P20230204,M00187,2023-04-17,Completed,120
R0000269,P20230204,M00648,2023-04-12,Completed,105
R0000270,P20230204,M00572,2023-04-01,Completed,120
R0000271,P20230204,M00316,2023-04-24,Completed,120
R0000272,P20230204,M00662,2023-04-18,No-show,120
R0000273,P20230204,M00942,2023-04-12,Completed,120
R0000274,P20230204,M00256,2023-04-02,Completed,120
R0000275,P20230204,M01114,2023-04-23,Completed,110
R0000276,P20230204,M00967,2023-04-18,Completed,110
R0000277,P20230204,M00066,2023-04-10,Completed,120
R0000278,P20230204,M00898,2023-04-09,Completed,120
R0000279,P20230204,M00011,2023-04-11,Completed,105
R0000280,P20230204,M00620,2023-04-05,Completed,110
R0000281,P20230204,M00166,2023-04-02,Completed,120
R0000282,P20230204,M00767,2023-04-02,Completed,120
R0000283,P20230204,M00934,2023-04-21,Completed,120
R0000284,P20230204,M00242,2023-04-01,Completed,120
R0000285,P20230205,M00209,2023-08-05,Completed,90
R0000286,P20230205,M01338,2023-08-15,Cancelled,90
R0000287,P20230205,M00925,2023-08-18,Completed,90
R0000288,P20230205,M01177,2023-08-04,Completed,90
R0000289,P20230205,M00656,2023-08-17,Completed,90
R0000290,P20230205,M00359,2023-08-16,Completed,75
R0000291,P20230205,M00556,2023-08-01,Completed,80
R0000292,P20230205,M00869,2023-08-15,No-show,75
R0000293,P20230205,M01171,2023-08-08,Completed,80
R0000294,P20230205,M00582,2023-08-18,Completed,75
R0000295,P20230205,M00002,2023-08-23,Completed,75
R0000296,P20230205,M00775,2023-08-04,Completed,75
R0000297,P20230205,M01118,2023-08-06,Completed,75
R0000298,P20230205,M00915,2023-08-08,Completed,90
R0000299,P20230205,M01106,2023-08-17,Completed,80
R0000300,P20230205,M01312,2023-08-06,Completed,90
R0000301,P20230205,M01326,2023-08-07,Completed,80
R0000302,P20230205,M00898,2023-08-01,Completed,75
R0000303,P20230205,M00652,2023-08-23,Completed,80
R0000304,P20230205,M01210,2023-08-24,Completed,80
R0000305,P20230205,M00558,2023-08-11,Completed,90
R0000306,P20230205,M00392,2023-08-05,Completed,90
R0000307,P20230205,M00151,2023-08-22,Cancelled,75
R0000308,P20230205,M00378,2023-08-09,Completed,80
R0000309,P20230206,M00573,2023-01-09,Completed,120
R0000310,P20230206,M00986,2023-01-12,Completed,105
R0000311,P20230206,M00181,2023-01-15,Completed,110
R0000312,P20230206,M00206,2023-01-24,Completed,120
R0000313,P20230206,M00064,2023-01-01,Completed,105
R0000314,P20230206,M00914,2023-01-13,Completed,120
R0000315,P20230206,M00374,2023-01-25,Completed,120
R0000316,P20230206,M00972,2023-01-21,Completed,110
R0000317,P20230206,M00997,2023-01-06,Completed,120
R0000318,P20230206,M00038,2023-01-14,Completed,120
R0000319,P20230206,M00161,2023-01-09,Completed,120
R0000320,P20230206,M00152,2023-01-05,Completed,105
R0000321,P20230206,M00467,2023-01-14,Completed,105
R0000322,P20230206,M00376,2023-01-21,Completed,105
R0000323,P20230206,M01257,2023-01-23,Completed,105
R0000324,P20230206,M00264,2023-01-23,Completed,105
R0000325,P20230206,M00307,2023-01-15,Completed,105
R0000326,P20230206,M00605,2023-01-01,Completed,110
R0000327,P20230206,M01332,2023-01-16,Completed,120
R0000328,P20230206,M00403,2023-01-25,Completed,110
R0000329,P20230206,M00225,2023-01-04,Cancelled,120
R0000330,P20230206,M00745,2023-01-16,No-show,120
R0000331,P20230206,M00123,2023-01-12,Completed,120
R0000332,P20230206,M00356,2023-01-19,Cancelled,120
R0000333,P20230206,M00040,2023-01-03,Completed,120
R0000334,P20230206,M01363,2023-01-19,Completed,120
R0000335,P20230206,M00550,2023-01-09,Completed,120
R0000336,P20230206,M00156,2023-01-13,Completed,120
R0000337,P20230206,M00015,2023-01-15,Completed,120
R0000338,P20230207,M00304,2023-03-08,Completed,90
R0000339,P20230207,M00114,2023-03-13,Completed,90
R0000340,P20230207,M00019,2023-03-22,Completed,90
R0000341,P20230207,M01115,2023-03-05,Completed,90
R0000342,P20230207,M00036,2023-03-05,Completed,75
R0000343,P20230207,M00683,2023-03-02,Completed,90
R0000344,P20230207,M00252,2023-03-18,Completed,90
R0000345,P20230207,M01205,2023-03-09,Completed,90
R0000346,P20230207,M00548,2023-03-22,Completed,80
R0000347,P20230207,M00907,2023-03-10,No-show,80
R0000348,P20230207,M00295,2023-03-14,Completed,90
R0000349,P20230207,M00705,2023-03-05,Completed,80
R0000350,P20230207,M01001,2023-03-07,Completed,80
R0000351,P20230207,M01145,2023-03-09,Completed,80
R0000352,P20230207,M00928,2023-03-12,Completed,80
R0000353,P20230208,M00888,2023-01-14,Completed,45
R0000354,P20230208,M00130,2023-01-23,Completed,45
R0000355,P20230208,M01246,2023-01-23,Completed,50
R0000356,P20230208,M00439,2023-01-02,Completed,60
R0000357,P20230208,M00202,2023-01-15,Completed,50
R0000358,P20230208,M01326,2023-01-05,Completed,60
R0000359,P20230208,M00730,2023-01-24,Cancelled,45
R0000360,P20230208,M00224,2023-01-25,Completed,60
R0000361,P20230208,M00896,2023-01-06,Completed,60
R0000362,P20230208,M00124,2023-01-09,Completed,60
R0000363,P20230208,M00186,2023-01-21,Completed,60
R0000364,P20230208,M00737,2023-01-08,Completed,50
R0000365,P20230208,M00617,2023-01-18,Completed,45
R0000366,P20230208,M00278,2023-01-17,Completed,60
R0000367,P20230208,M00029,2023-01-25,Completed,50
R0000368,P20230208,M01271,2023-01-06,Completed,50
R0000369,P20230208,M00924,2023-01-25,Completed,50
R0000370,P20230208,M01187,2023-01-10,Completed,60
R0000371,P20230208,M00110,2023-01-23,Completed,60
R0000372,P20230208,M00329,2023-01-09,Completed,60
R0000373,P20230208,M00139,2023-01-04,Cancelled,60
R0000374,P20230208,M00177,2023-01-02,Completed,60
R0000375,P20230208,M00566,2023-01-01,Completed,60
R0000376,P20230208,M00747,2023-01-21,Completed,60
R0000377,P20230208,M00119,2023-01-20,Completed,50
R0000378,P20230208,M00521,2023-01-06,Completed,50
R0000379,P20230208,M00868,2023-01-10,Completed,50
R0000380,P20230208,M00323,2023-01-06,Completed,45
R0000381,P20230208,M00106,2023-01-02,Completed,50
R0000382,P20230301,M00882,2023-08-02,Completed,80
R0000383,P20230301,M01346,2023-08-02,Completed,90
R0000384,P20230301,M00539,2023-08-17,Completed,80
R0000385,P20230301,M01095,2023-08-07,Completed,90
R0000386,P20230301,M00155,2023-08-21,Completed,90
R0000387,P20230301,M01034,2023-08-06,Completed,90
R0000388,P20230301,M00500,2023-08-22,Completed,90
R0000389,P20230301,M01123,2023-08-15,Cancelled,90
R0000390,P20230301,M01353,2023-08-13,Completed,90
R0000391,P20230301,M00081,2023-08-20,No-show,75
R0000392,P20230301,M00541,2023-08-05,Completed,90
R0000393,P20230301,M00181,2023-08-18,Completed,75
R0000394,P20230301,M00804,2023-08-15,Completed,90
R0000395,P20230301,M01056,2023-08-18,Completed,90
R0000396,P20230301,M01199,2023-08-19,Completed,75
R0000397,P20230301,M00196,2023-08-19,Completed,80
R0000398,P20230301,M00124,2023-08-05,Completed,90
R0000399,P20230301,M00219,2023-08-06,No-show,80
R0000400,P20230301,M00078,2023-08-11,Completed,90
R0000401,P20230301,M00794,2023-08-08,Cancelled,75
R0000402,P20230301,M00519,2023-08-08,No-show,90
R0000403,P20230301,M00920,2023-08-04,Completed,75
R0000404,P20230301,M00611,2023-08-07,Completed,75
R0000405,P20230301,M00308,2023-08-17,Cancelled,90
R0000406,P20230301,M00838,2023-08-08,No-show,80
R0000407,P20230301,M00912,2023-08-24,Completed,90
R0000408,P20230301,M00277,2023-08-21,Completed,90
R0000409,P20230301,M00342,2023-08-12,Completed,90
R0000410,P20230302,M00018,2023-09-16,Completed,90
R0000411,P20230302,M00910,2023-09-04,Completed,80
R0000412,P20230302,M01267,2023-09-03,Completed,75
R0000413,P20230302,M00650,2023-09-16,Completed,75
R0000414,P20230302,M00423,2023-09-01,Completed,75
R0000415,P20230302,M00662,2023-09-22,Completed,75
R0000416,P20230302,M00939,2023-09-06,Completed,80
R0000417,P20230302,M00308,2023-09-17,Completed,90
R0000418,P20230302,M01294,2023-09-02,Completed,90
R0000419,P20230302,M00379,2023-09-02,Completed,80
R0000420,P20230302,M00295,2023-09-09,Completed,90
R0000421,P20230302,M00069,2023-09-19,Completed,80
R0000422,P20230302,M01258,2023-09-10,Completed,90
R0000423,P20230302,M00232,2023-09-07,Completed,75
R0000424,P20230302,M00399,2023-09-19,Completed,90
R0000425,P20230302,M00502,2023-09-11,Completed,75
R0000426,P20230302,M00283,2023-09-23,Completed,75
R0000427,P20230302,M00234,2023-09-01,Completed,80
R0000428,P20230302,M00711,2023-09-06,Completed,90
R0000429,P20230302,M00997,2023-09-19,Completed,80
R0000430,P20230303,M00321,2023-06-07,Completed,75
R0000431,P20230303,M00298,2023-06-20,Completed,75
R0000432,P20230303,M00682,2023-06-01,Completed,75
R0000433,P20230303,M00841,2023-06-15,Completed,60
R0000434,P20230303,M00268,2023-06-21,Completed,65
R0000435,P20230303,M01268,2023-06-01,Completed,75
R0000436,P20230303,M00933,2023-06-25,Completed,60
R0000437,P20230303,M00880,2023-06-17,Completed,60
R0000438,P20230303,M00438,2023-06-16,Completed,75
R0000439,P20230303,M00618,2023-06-06,Cancelled,75
R0000440,P20230303,M00057,2023-06-06,Completed,75
R0000441,P20230303,M00418,2023-06-12,Completed,60
R0000442,P20230303,M00681,2023-06-14,Completed,75
R0000443,P20230303,M00274,2023-06-06,Completed,60
R0000444,P20230303,M00739,2023-06-13,Completed,65
R0000445,P20230303,M00409,2023-06-06,Completed,75
R0000446,P20230303,M00003,2023-06-19,Completed,60
R0000447,P20230303,M00431,2023-06-23,Completed,75
R0000448,P20230303,M01270,2023-06-08,Completed,75
R0000449,P20230303,M00801,2023-06-10,No-show,65
R0000450,P20230303,M00606,2023-06-19,Completed,75
R0000451,P20230303,M00893,2023-06-17,Completed,75
R0000452,P20230303,M01322,2023-06-15,Completed,65
R0000453,P20230303,M00395,2023-06-17,Completed,65
R0000454,P20230303,M01177,2023-06-16,Completed,75
R0000455,P20230303,M01232,2023-06-14,Completed,65
R0000456,P20230304,M00221,2023-04-06,Completed,120
R0000457,P20230304,M00086,2023-04-02,Completed,120
R0000458,P20230304,M00139,2023-04-04,Completed,105
R0000459,P20230304,M00355,2023-04-10,Completed,120
R0000460,P20230304,M00182,2023-04-11,Completed,120
R0000461,P20230304,M00069,2023-04-15,Cancelled,120
R0000462,P20230304,M00569,2023-04-24,Completed,105
R0000463,P20230304,M00118,2023-04-10,Completed,120
R0000464,P20230304,M01219,2023-04-17,Completed,120
R0000465,P20230304,M00185,2023-04-05,Completed,120
R0000466,P20230304,M00030,2023-04-15,Completed,105
R0000467,P20230304,M00202,2023-04-22,Completed,105
R0000468,P20230304,M00272,2023-04-01,Completed,105
R0000469,P20230304,M00788,2023-04-10,Completed,120
R0000470,P20230304,M01308,2023-04-19,Completed,110
R0000471,P20230304,M00215,2023-04-13,Completed,120
R0000472,P20230304,M00727,2023-04-10,Completed,120
R0000473,P20230304,M00341,2023-04-04,Completed,120
R0000474,P20230304,M00263,2023-04-14,Completed,110
R0000475,P20230304,M01394,2023-04-09,Completed,105
R0000476,P20230304,M00517,2023-04-10,Cancelled,120
R0000477,P20230304,M01207,2023-04-18,Completed,120
R0000478,P20230304,M00868,2023-04-14,Completed,120
R0000479,P20230304,M00535,2023-04-06,Completed,120
R0000480,P20230305,M00393,2023-06-25,Completed,75
R0000481,P20230305,M01366,2023-06-19,Completed,80
R0000482,P20230305,M00139,2023-06-05,Completed,90
R0000483,P20230305,M01032,2023-06-07,Completed,90
R0000484,P20230305,M00089,2023-06-21,Cancelled,90
R0000485,P20230305,M00627,2023-06-22,Completed,75
R0000486,P20230305,M00972,2023-06-17,Completed,90
R0000487,P20230305,M01201,2023-06-05,Cancelled,75
R0000488,P20230305,M01040,2023-06-04,Completed,90
R0000489,P20230305,M00611,2023-06-12,Completed,75
R0000490,P20230305,M00449,2023-06-04,Completed,80
R0000491,P20230305,M00490,2023-06-18,Completed,80
R0000492,P20230305,M00269,2023-06-24,Completed,90
R0000493,P20230305,M01139,2023-06-09,Completed,90
R0000494,P20230305,M00301,2023-06-06,Completed,90
R0000495,P20230305,M01087,2023-06-19,Completed,90
R0000496,P20230305,M01164,2023-06-02,Completed,90
R0000497,P20230305,M00927,2023-06-02,Completed,80
R0000498,P20230305,M01120,2023-06-08,Completed,90
R0000499,P20230305,M00157,2023-06-14,Completed,90
R0000500,P20230305,M00663,2023-06-25,Completed,80
R0000501,P20230305,M00579,2023-06-22,Completed,80
R0000502,P20230305,M00416,2023-06-18,Completed,80
R0000503,P20230305,M00961,2023-06-22,Completed,90
R0000504,P20230305,M00767,2023-06-04,Completed,75
R0000505,P20230306,M00108,2023-01-13,Completed,50
R0000506,P20230306,M00961,2023-01-02,Completed,60
R0000507,P20230306,M01061,2023-01-18,Completed,45
R0000508,P20230306,M00315,2023-01-04,Completed,50
R0000509,P20230306,M01175,2023-01-01,Completed,45
R0000510,P20230306,M01323,2023-01-24,Completed,60
R0000511,P20230306,M00739,2023-01-02,Completed,60
R0000512,P20230306,M00726,2023-01-06,Completed,45
R0000513,P20230306,M00516,2023-01-09,Completed,60
