member_id,join_year,home_facility_id,age_group,membership_type,acquisition_channel,visits_first_90_days,visits_first_membership_year,program_registrations_first_year,active_years_observed,contribution_margin_observed,retained_after_first_period
M00196,2024,F04,65+,Adult annual,Walk-in,10,23,2,2,442.2,1
M00197,2022,F01,50-64,Senior annual,Community event,9,23,4,2,280.8,1
M00198,2024,F04,Under 18,Family annual,Organic web,9,10,2,1,298.35,0
M00199,2023,F04,65+,Monthly flexible,Referral,9,9,0,2,393.6,1
M00200,2025,F01,50-64,Monthly flexible,Email,2,2,2,1,166.05,Censored
M00201,2023,F02,35-49,Adult annual,Organic web,4,4,2,1,237.6,0
M00202,2022,F01,35-49,Monthly flexible,Organic web,1,3,3,1,166.05,0
M00203,2023,F01,18-34,Family annual,Paid social,14,39,4,3,963.3,1
M00204,2022,F02,Under 18,Adult annual,Walk-in,8,8,1,2,453.2,1
M00205,2022,F02,65+,Family annual,Organic web,8,9,3,4,1281.15,1
M00206,2023,F02,50-64,Monthly flexible,Paid social,4,15,1,2,362.85,1
M00207,2022,F02,35-49,Family annual,Organic web,17,17,3,3,973.05,1
M00208,2024,F01,50-64,Adult annual,Paid social,13,31,4,2,475.2,1
M00209,2024,F02,65+,Youth annual,Organic web,10,11,0,2,147.25,1
M00210,2023,F01,35-49,Monthly flexible,Walk-in,9,13,2,2,393.6,1
M00211,2025,F03,18-34,Family annual,Walk-in,11,33,3,1,327.6,Censored
M00212,2024,F02,65+,Youth annual,Paid social,14,14,2,2,170.5,1
M00213,2023,F02,35-49,Monthly flexible,Organic web,5,8,1,3,590.4,1
M00214,2024,F01,18-34,Family annual,Paid social,4,13,1,2,655.2,1
M00215,2024,F04,35-49,Adult annual,Organic web,12,12,2,2,453.2,1
M00216,2022,F02,50-64,Senior annual,Organic web,6,8,0,1,140.4,0
M00217,2025,F04,50-64,Adult annual,Walk-in,1,1,0,1,237.6,Censored
M00218,2023,F03,Under 18,Monthly flexible,Referral,6,6,3,1,196.8,0
M00219,2022,F02,18-34,Adult annual,Walk-in,18,41,1,4,950.4,1
M00220,2022,F03,50-64,Youth annual,Referral,8,8,0,3,279,1
M00221,2023,F01,35-49,Monthly flexible,Community event,4,4,0,3,590.4,1
M00222,2022,F01,35-49,Adult annual,Walk-in,11,23,2,4,906.4,1
M00223,2023,F02,50-64,Adult annual,Walk-in,14,14,1,1,204.6,0
M00224,2022,F01,50-64,Family annual,Community event,9,20,3,4,1271.4,1
M00225,2022,F04,50-64,Senior annual,Community event,3,14,1,1,140.4,0
M00226,2025,F03,18-34,Adult annual,Organic web,11,30,1,1,237.6,Censored
M00227,2025,F01,Under 18,Senior annual,Community event,7,7,5,1,113.4,Censored
M00228,2022,F04,18-34,Family annual,Paid social,5,14,1,2,655.2,1
M00229,2024,F01,Under 18,Adult annual,Organic web,12,24,1,2,464.2,1
M00230,2022,F04,65+,Monthly flexible,Organic web,3,8,2,4,766.7,1
M00231,2024,F01,35-49,Adult annual,Organic web,1,13,0,2,431.2,1
M00232,2023,F02,65+,Adult annual,Walk-in,10,17,4,1,237.6,0
M00233,2025,F04,Under 18,Senior annual,Referral,11,13,4,1,131.4,Censored
M00234,2023,F04,Under 18,Family annual,Walk-in,9,18,3,3,953.55,1
M00235,2022,F03,50-64,Adult annual,Community event,4,5,1,4,950.4,1
M00236,2022,F04,50-64,Monthly flexible,Referral,1,4,2,2,373.1,1
M00237,2023,F01,35-49,Family annual,Organic web,14,20,2,3,963.3,1
M00238,2024,F01,18-34,Family annual,Organic web,10,15,0,2,655.2,1
M00239,2024,F02,35-49,Family annual,Organic web,25,32,0,2,625.95,1
M00240,2023,F01,50-64,Monthly flexible,Referral,7,13,2,1,196.8,0
M00241,2024,F03,18-34,Monthly flexible,Referral,7,7,2,1,186.55,0
M00242,2024,F04,65+,Adult annual,Walk-in,7,19,4,1,215.6,0
M00243,2025,F01,18-34,Senior annual,Organic web,13,37,1,1,140.4,Censored
M00244,2022,F02,18-34,Adult annual,Paid social,16,23,5,4,950.4,1
M00245,2023,F04,35-49,Youth annual,Organic web,3,7,1,1,93,0
M00246,2022,F01,65+,Family annual,Paid social,6,6,3,4,1261.65,1
M00247,2025,F03,18-34,Senior annual,Walk-in,5,5,1,1,140.4,Censored
M00248,2024,F04,18-34,Family annual,Organic web,8,12,1,2,635.7,1
M00249,2025,F04,Under 18,Senior annual,Email,9,20,1,1,140.4,Censored
M00250,2024,F02,35-49,Youth annual,Paid social,7,7,1,2,178.25,1
M00251,2024,F01,Under 18,Youth annual,Organic web,6,20,3,1,93,0
M00252,2024,F01,18-34,Adult annual,Organic web,5,16,0,2,475.2,1
M00253,2024,F01,50-64,Adult annual,Walk-in,11,25,3,1,226.6,0
M00254,2023,F02,18-34,Youth annual,Organic web,15,46,2,3,255.75,1
M00255,2022,F03,50-64,Adult annual,Referral,9,21,3,3,712.8,1
M00256,2023,F01,Under 18,Family annual,Community event,15,24,3,3,973.05,1
M00257,2022,F04,18-34,Adult annual,Paid social,4,15,0,1,237.6,0
M00258,2025,F01,65+,Monthly flexible,Community event,3,4,0,1,196.8,Censored
M00259,2023,F02,65+,Adult annual,Organic web,7,19,2,3,701.8,1
M00260,2024,F01,35-49,Monthly flexible,Community event,6,11,0,2,373.1,1
M00261,2024,F02,18-34,Adult annual,Walk-in,16,31,1,2,475.2,1
M00262,2024,F04,Under 18,Family annual,Paid social,9,11,1,1,327.6,0
M00263,2023,F04,35-49,Adult annual,Referral,0,5,1,1,237.6,0
M00264,2024,F04,50-64,Monthly flexible,Walk-in,6,8,2,2,393.6,1
M00265,2023,F01,18-34,Monthly flexible,Referral,3,6,1,1,196.8,0
M00266,2023,F02,50-64,Adult annual,Organic web,9,22,1,2,475.2,1
M00267,2025,F01,50-64,Adult annual,Organic web,6,11,4,1,215.6,Censored
M00268,2025,F03,Under 18,Family annual,Organic web,10,10,6,1,327.6,Censored
M00269,2023,F02,18-34,Family annual,Paid social,3,17,1,3,973.05,1
M00270,2024,F02,35-49,Adult annual,Referral,19,26,3,2,475.2,1
M00271,2025,F03,65+,Adult annual,Paid social,2,4,1,1,215.6,Censored
M00272,2023,F02,50-64,Monthly flexible,Organic web,4,16,3,3,559.65,1
M00273,2023,F04,18-34,Family annual,Paid social,5,8,1,3,973.05,1
M00274,2023,F01,18-34,Adult annual,Walk-in,10,10,1,3,712.8,1
M00275,2022,F01,18-34,Family annual,Referral,6,13,1,4,1290.9,1
M00276,2022,F01,35-49,Family annual,Referral,16,16,0,4,1300.65,1
M00277,2022,F01,35-49,Senior annual,Email,6,6,2,3,403.2,1
M00278,2022,F01,35-49,Monthly flexible,Walk-in,10,16,2,1,196.8,0
M00279,2023,F04,50-64,Family annual,Organic web,13,38,2,3,973.05,1
M00280,2024,F03,50-64,Family annual,Walk-in,4,21,1,2,625.95,1
M00281,2023,F02,35-49,Adult annual,Community event,6,6,3,3,712.8,1
M00282,2023,F02,50-64,Monthly flexible,Paid social,2,3,1,3,528.9,1
M00283,2025,F03,35-49,Adult annual,Referral,3,6,2,1,237.6,Censored
M00284,2023,F02,35-49,Senior annual,Email,12,19,3,2,244.8,1
M00285,2022,F03,Under 18,Adult annual,Paid social,11,13,5,4,950.4,1
M00286,2025,F02,18-34,Adult annual,Community event,6,6,2,1,237.6,Censored
M00287,2024,F04,18-34,Adult annual,Referral,9,22,2,1,237.6,0
M00288,2023,F01,35-49,Adult annual,Community event,10,19,1,1,237.6,0
M00289,2022,F02,65+,Monthly flexible,Walk-in,7,14,1,4,766.7,1
M00290,2022,F03,18-34,Senior annual,Walk-in,3,7,3,4,561.6,1
M00291,2022,F03,18-34,Adult annual,Referral,2,2,3,1,226.6,0
M00292,2023,F03,18-34,Youth annual,Walk-in,6,6,2,3,263.5,1
M00293,2025,F02,35-49,Senior annual,Email,18,18,3,1,140.4,Censored
M00294,2024,F04,35-49,Family annual,Paid social,8,15,0,2,645.45,1
M00295,2023,F03,18-34,Monthly flexible,Organic web,7,23,3,2,362.85,1
M00296,2023,F03,18-34,Youth annual,Email,3,4,0,3,255.75,1
M00297,2023,F03,50-64,Senior annual,Referral,10,20,0,1,131.4,0
M00298,2025,F01,35-49,Adult annual,Referral,9,9,2,1,237.6,Censored
M00299,2024,F03,18-34,Adult annual,Email,3,13,3,1,215.6,0
M00300,2022,F01,50-64,Adult annual,Referral,16,42,2,4,939.4,1
M00301,2024,F01,35-49,Adult annual,Email,9,15,2,2,475.2,1
M00302,2023,F04,50-64,Adult annual,Community event,13,27,3,3,701.8,1
M00303,2025,F01,50-64,Senior annual,Referral,10,20,3,1,140.4,Censored
M00304,2025,F03,18-34,Family annual,Walk-in,3,3,4,1,327.6,Censored
M00305,2024,F01,65+,Youth annual,Referral,18,51,0,1,93,0
M00306,2024,F02,35-49,Youth annual,Organic web,6,6,4,2,170.5,1
M00307,2023,F04,18-34,Family annual,Walk-in,9,14,2,3,982.8,1
M00308,2023,F03,50-64,Adult annual,Organic web,7,15,0,1,204.6,0
M00309,2025,F03,35-49,Family annual,Community event,15,25,0,1,317.85,Censored
M00310,2023,F02,65+,Monthly flexible,Referral,10,18,1,2,373.1,1
M00311,2024,F02,65+,Adult annual,Referral,11,36,4,2,453.2,1
M00312,2022,F03,65+,Family annual,Organic web,5,19,2,4,1271.4,1
M00313,2022,F04,Under 18,Monthly flexible,Walk-in,7,7,1,4,787.2,1
M00314,2023,F03,18-34,Monthly flexible,Paid social,5,8,2,2,383.35,1
M00315,2022,F01,65+,Adult annual,Referral,9,37,2,4,895.4,1
M00316,2023,F03,65+,Family annual,Organic web,5,5,2,2,655.2,1
M00317,2024,F04,65+,Youth annual,Paid social,11,26,3,2,170.5,1
M00318,2022,F02,50-64,Adult annual,Paid social,17,27,8,4,950.4,1
M00319,2022,F03,50-64,Adult annual,Community event,10,31,3,4,928.4,1
M00320,2025,F04,18-34,Family annual,Organic web,6,13,2,1,317.85,Censored
M00321,2023,F03,65+,Adult annual,Referral,9,9,6,3,679.8,1
M00322,2023,F03,35-49,Monthly flexible,Referral,5,8,2,2,373.1,1
M00323,2022,F04,35-49,Monthly flexible,Referral,4,14,0,2,362.85,1
M00324,2022,F02,35-49,Monthly flexible,Community event,4,13,2,4,776.95,1
M00325,2024,F01,50-64,Senior annual,Paid social,5,13,2,2,253.8,1
M00326,2023,F01,65+,Monthly flexible,Walk-in,4,7,2,1,176.3,0
M00327,2024,F01,50-64,Adult annual,Walk-in,15,41,1,2,420.2,1
M00328,2023,F03,18-34,Family annual,Walk-in,3,7,0,2,635.7,1
M00329,2024,F03,18-34,Youth annual,Referral,6,6,1,1,93,0
M00330,2022,F01,18-34,Monthly flexible,Organic web,4,6,6,4,766.7,1
M00331,2022,F03,65+,Family annual,Referral,6,17,4,4,1300.65,1
M00332,2025,F01,18-34,Senior annual,Organic web,9,12,1,1,113.4,Censored
M00333,2023,F03,18-34,Family annual,Organic web,11,19,1,3,973.05,1
M00334,2023,F02,50-64,Adult annual,Walk-in,10,10,1,3,679.8,1
M00335,2023,F02,65+,Family annual,Referral,9,38,2,3,963.3,1
M00336,2024,F01,Under 18,Monthly flexible,Organic web,10,21,3,1,196.8,0
M00337,2025,F01,50-64,Adult annual,Referral,8,12,2,1,215.6,Censored
M00338,2023,F04,18-34,Adult annual,Referral,9,21,0,3,701.8,1
M00339,2023,F01,35-49,Senior annual,Community event,6,6,2,1,140.4,0
M00340,2022,F03,35-49,Adult annual,Walk-in,4,5,1,4,939.4,1
M00341,2023,F01,35-49,Adult annual,Organic web,10,11,2,1,237.6,0
M00342,2022,F03,65+,Youth annual,Walk-in,7,18,3,4,372,1
M00343,2024,F02,18-34,Family annual,Organic web,9,9,6,2,645.45,1
M00344,2025,F01,35-49,Family annual,Email,6,16,2,1,308.1,Censored
M00345,2022,F01,50-64,Monthly flexible,Referral,6,9,1,2,362.85,1
M00346,2024,F01,18-34,Family annual,Referral,6,21,3,2,655.2,1
M00347,2022,F01,18-34,Monthly flexible,Organic web,3,5,0,1,166.05,0
M00348,2023,F02,18-34,Family annual,Email,13,13,5,3,982.8,1
M00349,2025,F01,18-34,Senior annual,Organic web,8,16,4,1,131.4,Censored
M00350,2024,F02,50-64,Senior annual,Walk-in,11,21,0,1,140.4,0
M00351,2024,F03,50-64,Family annual,Walk-in,7,25,2,2,645.45,1
M00352,2024,F04,65+,Senior annual,Community event,8,21,2,1,140.4,0
M00353,2023,F04,65+,Senior annual,Walk-in,13,23,1,3,412.2,1
M00354,2025,F01,65+,Adult annual,Paid social,4,9,1,1,237.6,Censored
