transaction_id,member_id,transaction_date,facility_id,revenue_type,gross_revenue,direct_cost,contribution_margin
T0000134,M00074,2024-11-20,F04,Membership,465,260.4,204.6
T0000135,M00074,2025-01-01,F04,Membership,540,302.4,237.6
T0000136,M00075,2025-08-28,F02,Membership,300,207,93
T0000137,M00076,2025-04-27,F01,Membership,430,253.7,176.3
T0000138,M00077,2024-09-20,F01,Membership,540,302.4,237.6
T0000139,M00077,2025-01-01,F01,Membership,540,302.4,237.6
T0000140,M00078,2025-04-06,F01,Membership,465,260.4,204.6
T0000141,M00079,2023-04-29,F02,Membership,840,512.4,327.6
T0000142,M00079,2024-01-01,F02,Membership,840,512.4,327.6
T0000143,M00079,2025-01-01,F02,Membership,840,512.4,327.6
T0000144,M00080,2025-09-11,F04,Membership,540,302.4,237.6
T0000145,M00081,2024-03-24,F02,Membership,480,283.2,196.8
T0000146,M00081,2025-01-01,F02,Membership,480,283.2,196.8
T0000147,M00082,2022-08-04,F01,Membership,300,207,93
T0000148,M00082,2023-01-01,F01,Membership,300,207,93
T0000149,M00082,2024-01-01,F01,Membership,300,207,93
T0000150,M00083,2022-04-22,F02,Membership,490,274.4,215.6
T0000151,M00083,2023-01-01,F02,Membership,540,302.4,237.6
T0000152,M00084,2024-04-22,F04,Membership,540,302.4,237.6
T0000153,M00084,2025-01-01,F04,Membership,490,274.4,215.6
T0000154,M00085,2025-03-24,F02,Membership,840,512.4,327.6
T0000155,M00086,2022-03-19,F01,Membership,455,268.45,186.55
T0000156,M00086,2023-01-01,F01,Membership,430,253.7,176.3
T0000157,M00087,2022-08-18,F02,Membership,480,283.2,196.8
T0000158,M00087,2023-01-01,F02,Membership,455,268.45,186.55
T0000159,M00088,2023-03-08,F01,Membership,815,497.15,317.85
T0000160,M00089,2022-10-29,F01,Membership,390,249.6,140.4
T0000161,M00089,2023-01-01,F01,Membership,340,217.6,122.4
T0000162,M00089,2024-01-01,F01,Membership,315,201.6,113.4
T0000163,M00089,2025-01-01,F01,Membership,390,249.6,140.4
T0000164,M00090,2023-04-24,F02,Membership,540,302.4,237.6
T0000165,M00090,2024-01-01,F02,Membership,540,302.4,237.6
T0000166,M00090,2025-01-01,F02,Membership,540,302.4,237.6
T0000167,M00091,2024-07-15,F01,Membership,840,512.4,327.6
T0000168,M00091,2025-01-01,F01,Membership,840,512.4,327.6
T0000169,M00092,2024-11-09,F04,Membership,515,288.4,226.6
T0000170,M00092,2025-01-01,F04,Membership,540,302.4,237.6
T0000171,M00093,2024-02-03,F04,Membership,815,497.15,317.85
T0000172,M00093,2025-01-01,F04,Membership,840,512.4,327.6
T0000173,M00094,2022-06-08,F01,Membership,480,283.2,196.8
T0000174,M00094,2023-01-01,F01,Membership,455,268.45,186.55
T0000175,M00095,2023-08-23,F02,Membership,540,302.4,237.6
T0000176,M00095,2024-01-01,F02,Membership,515,288.4,226.6
T0000177,M00095,2025-01-01,F02,Membership,540,302.4,237.6
T0000178,M00096,2023-01-23,F01,Membership,540,302.4,237.6
T0000179,M00096,2024-01-01,F01,Membership,540,302.4,237.6
T0000180,M00096,2025-01-01,F01,Membership,490,274.4,215.6
T0000181,M00097,2024-03-11,F02,Membership,465,260.4,204.6
T0000182,M00097,2025-01-01,F02,Membership,515,288.4,226.6
T0000183,M00098,2024-05-21,F01,Membership,390,249.6,140.4
T0000184,M00098,2025-01-01,F01,Membership,390,249.6,140.4
T0000185,M00099,2022-04-01,F02,Membership,790,481.9,308.1
T0000186,M00099,2023-01-01,F02,Membership,840,512.4,327.6
T0000187,M00099,2024-01-01,F02,Membership,840,512.4,327.6
T0000188,M00099,2025-01-01,F02,Membership,840,512.4,327.6
T0000189,M00100,2024-01-29,F03,Membership,480,283.2,196.8
T0000190,M00101,2023-09-14,F01,Membership,840,512.4,327.6
T0000191,M00101,2024-01-01,F01,Membership,790,481.9,308.1
T0000192,M00101,2025-01-01,F01,Membership,840,512.4,327.6
T0000193,M00102,2024-05-31,F02,Membership,840,512.4,327.6
T0000194,M00103,2024-09-07,F01,Membership,480,283.2,196.8
T0000195,M00104,2023-03-25,F01,Membership,540,302.4,237.6
T0000196,M00104,2024-01-01,F01,Membership,490,274.4,215.6
T0000197,M00104,2025-01-01,F01,Membership,540,302.4,237.6
T0000198,M00105,2022-02-18,F04,Membership,540,302.4,237.6
T0000199,M00105,2023-01-01,F04,Membership,490,274.4,215.6
T0000200,M00105,2024-01-01,F04,Membership,540,302.4,237.6
T0000201,M00106,2023-08-13,F04,Membership,275,189.75,85.25
T0000202,M00106,2024-01-01,F04,Membership,300,207,93
T0000203,M00106,2025-01-01,F04,Membership,300,207,93
T0000204,M00107,2022-05-05,F03,Membership,390,249.6,140.4
T0000205,M00107,2023-01-01,F03,Membership,390,249.6,140.4
T0000206,M00107,2024-01-01,F03,Membership,365,233.6,131.4
T0000207,M00107,2025-01-01,F03,Membership,390,249.6,140.4
T0000208,M00108,2022-07-04,F02,Membership,540,302.4,237.6
T0000209,M00108,2023-01-01,F02,Membership,490,274.4,215.6
T0000210,M00108,2024-01-01,F02,Membership,540,302.4,237.6
T0000211,M00109,2022-05-27,F01,Membership,540,302.4,237.6
T0000212,M00109,2023-01-01,F01,Membership,540,302.4,237.6
T0000213,M00109,2024-01-01,F01,Membership,540,302.4,237.6
T0000214,M00109,2025-01-01,F01,Membership,490,274.4,215.6
T0000215,M00110,2022-02-26,F04,Membership,300,207,93
T0000216,M00110,2023-01-01,F04,Membership,300,207,93
T0000217,M00110,2024-01-01,F04,Membership,300,207,93
T0000218,M00110,2025-01-01,F04,Membership,300,207,93
T0000219,M00111,2024-03-21,F02,Membership,540,302.4,237.6
T0000220,M00111,2025-01-01,F02,Membership,540,302.4,237.6
T0000221,M00112,2024-02-12,F04,Membership,300,207,93
T0000222,M00112,2025-01-01,F04,Membership,300,207,93
T0000223,M00113,2022-09-30,F03,Membership,840,512.4,327.6
T0000224,M00113,2023-01-01,F03,Membership,840,512.4,327.6
T0000225,M00113,2024-01-01,F03,Membership,840,512.4,327.6
T0000226,M00113,2025-01-01,F03,Membership,840,512.4,327.6
T0000227,M00114,2023-01-22,F04,Membership,390,249.6,140.4
T0000228,M00114,2024-01-01,F04,Membership,390,249.6,140.4
T0000229,M00114,2025-01-01,F04,Membership,390,249.6,140.4
T0000230,M00115,2025-08-18,F02,Membership,515,288.4,226.6
T0000231,M00116,2024-06-22,F01,Membership,840,512.4,327.6
T0000232,M00116,2025-01-01,F01,Membership,765,466.65,298.35
T0000233,M00117,2023-03-05,F04,Membership,540,302.4,237.6
T0000234,M00117,2024-01-01,F04,Membership,540,302.4,237.6
T0000235,M00118,2023-03-06,F01,Membership,540,302.4,237.6
T0000236,M00119,2024-04-22,F03,Membership,390,249.6,140.4
T0000237,M00119,2025-01-01,F03,Membership,365,233.6,131.4
T0000238,M00120,2023-02-02,F01,Membership,490,274.4,215.6
T0000239,M00120,2024-01-01,F01,Membership,540,302.4,237.6
T0000240,M00120,2025-01-01,F01,Membership,540,302.4,237.6
T0000241,M00121,2025-11-19,F01,Membership,300,207,93
T0000242,M00122,2025-07-28,F02,Membership,390,249.6,140.4
T0000243,M00123,2022-09-02,F04,Membership,480,283.2,196.8
T0000244,M00123,2023-01-01,F04,Membership,455,268.45,186.55
T0000245,M00123,2024-01-01,F04,Membership,480,283.2,196.8
T0000246,M00123,2025-01-01,F04,Membership,480,283.2,196.8
T0000247,M00124,2024-11-06,F01,Membership,365,233.6,131.4
T0000248,M00124,2025-01-01,F01,Membership,390,249.6,140.4
T0000249,M00125,2022-08-08,F04,Membership,840,512.4,327.6
T0000250,M00125,2023-01-01,F04,Membership,840,512.4,327.6
T0000251,M00125,2024-01-01,F04,Membership,840,512.4,327.6
T0000252,M00126,2025-07-27,F01,Membership,390,249.6,140.4
T0000253,M00127,2023-05-04,F02,Membership,340,217.6,122.4
T0000254,M00127,2024-01-01,F02,Membership,390,249.6,140.4
T0000255,M00127,2025-01-01,F02,Membership,390,249.6,140.4
T0000256,M00128,2022-09-22,F01,Membership,540,302.4,237.6
T0000257,M00128,2023-01-01,F01,Membership,490,274.4,215.6
T0000258,M00128,2024-01-01,F01,Membership,540,302.4,237.6
T0000259,M00128,2025-01-01,F01,Membership,540,302.4,237.6
T0000260,M00129,2023-05-06,F01,Membership,250,172.5,77.5
T0000261,M00129,2024-01-01,F01,Membership,300,207,93
T0000262,M00129,2025-01-01,F01,Membership,275,189.75,85.25
T0000263,M00130,2023-08-02,F01,Membership,430,253.7,176.3
T0000264,M00130,2024-01-01,F01,Membership,480,283.2,196.8
T0000265,M00130,2025-01-01,F01,Membership,430,253.7,176.3
T0000266,M00131,2022-09-01,F02,Membership,540,302.4,237.6
T0000267,M00131,2023-01-01,F02,Membership,540,302.4,237.6
T0000268,M00131,2024-01-01,F02,Membership,540,302.4,237.6
T0000269,M00131,2025-01-01,F02,Membership,515,288.4,226.6
T0000270,M00132,2022-07-10,F02,Membership,840,512.4,327.6
T0000271,M00132,2023-01-01,F02,Membership,840,512.4,327.6
T0000272,M00132,2024-01-01,F02,Membership,790,481.9,308.1
T0000273,M00132,2025-01-01,F02,Membership,840,512.4,327.6
T0000274,M00133,2023-03-06,F04,Membership,365,233.6,131.4
T0000275,M00133,2024-01-01,F04,Membership,390,249.6,140.4
T0000276,M00133,2025-01-01,F04,Membership,390,249.6,140.4
T0000277,M00134,2024-08-03,F02,Membership,480,283.2,196.8
T0000278,M00134,2025-01-01,F02,Membership,455,268.45,186.55
T0000279,M00135,2023-11-10,F01,Membership,840,512.4,327.6
T0000280,M00136,2024-01-18,F01,Membership,480,283.2,196.8
T0000281,M00137,2023-01-06,F02,Membership,490,274.4,215.6
T0000282,M00137,2024-01-01,F02,Membership,465,260.4,204.6
T0000283,M00138,2022-09-12,F01,Membership,300,207,93
T0000284,M00139,2023-11-10,F04,Membership,480,283.2,196.8
T0000285,M00140,2024-02-02,F02,Membership,840,512.4,327.6
T0000286,M00140,2025-01-01,F02,Membership,790,481.9,308.1
T0000287,M00141,2023-09-03,F04,Membership,765,466.65,298.35
T0000288,M00141,2024-01-01,F04,Membership,815,497.15,317.85
T0000289,M00141,2025-01-01,F04,Membership,840,512.4,327.6
T0000290,M00142,2022-02-28,F01,Membership,480,283.2,196.8
T0000291,M00142,2023-01-01,F01,Membership,455,268.45,186.55
T0000292,M00143,2022-09-20,F02,Membership,840,512.4,327.6
T0000293,M00144,2024-09-10,F01,Membership,540,302.4,237.6
T0000294,M00145,2022-08-11,F02,Membership,840,512.4,327.6
T0000295,M00146,2024-07-06,F01,Membership,390,249.6,140.4
T0000296,M00146,2025-01-01,F01,Membership,390,249.6,140.4
T0000297,M00147,2024-02-24,F01,Membership,815,497.15,317.85
T0000298,M00147,2025-01-01,F01,Membership,815,497.15,317.85
T0000299,M00148,2022-07-13,F04,Membership,840,512.4,327.6
T0000300,M00148,2023-01-01,F04,Membership,765,466.65,298.35
T0000301,M00148,2024-01-01,F04,Membership,815,497.15,317.85
T0000302,M00148,2025-01-01,F04,Membership,815,497.15,317.85
T0000303,M00149,2024-07-22,F04,Membership,490,274.4,215.6
T0000304,M00149,2025-01-01,F04,Membership,465,260.4,204.6
T0000305,M00150,2023-04-15,F01,Membership,540,302.4,237.6
T0000306,M00150,2024-01-01,F01,Membership,540,302.4,237.6
T0000307,M00150,2025-01-01,F01,Membership,540,302.4,237.6
T0000308,M00151,2024-09-15,F01,Membership,300,207,93
T0000309,M00152,2024-01-27,F02,Membership,300,207,93
T0000310,M00152,2025-01-01,F02,Membership,300,207,93
T0000311,M00153,2025-04-26,F01,Membership,480,283.2,196.8
T0000312,M00154,2022-08-30,F04,Membership,540,302.4,237.6
T0000313,M00155,2024-01-13,F02,Membership,390,249.6,140.4
T0000314,M00155,2025-01-01,F02,Membership,390,249.6,140.4
T0000315,M00156,2022-10-04,F03,Membership,430,253.7,176.3
T0000316,M00156,2023-01-01,F03,Membership,455,268.45,186.55
T0000317,M00156,2024-01-01,F03,Membership,480,283.2,196.8
T0000318,M00156,2025-01-01,F03,Membership,430,253.7,176.3
T0000319,M00157,2024-04-29,F01,Membership,340,217.6,122.4
T0000320,M00157,2025-01-01,F01,Membership,390,249.6,140.4
T0000321,M00158,2022-07-24,F03,Membership,840,512.4,327.6
T0000322,M00159,2025-08-14,F01,Membership,300,207,93
T0000323,M00160,2024-01-26,F04,Membership,480,283.2,196.8
T0000324,M00160,2025-01-01,F04,Membership,480,283.2,196.8
T0000325,M00161,2024-06-04,F01,Membership,480,283.2,196.8
T0000326,M00161,2025-01-01,F01,Membership,480,283.2,196.8
T0000327,M00162,2022-02-11,F01,Membership,490,274.4,215.6
T0000328,M00162,2023-01-01,F01,Membership,465,260.4,204.6
T0000329,M00162,2024-01-01,F01,Membership,540,302.4,237.6
T0000330,M00162,2025-01-01,F01,Membership,540,302.4,237.6
T0000331,M00163,2023-10-05,F03,Membership,540,302.4,237.6
T0000332,M00163,2024-01-01,F03,Membership,540,302.4,237.6
T0000333,M00163,2025-01-01,F03,Membership,490,274.4,215.6
T0000334,M00164,2022-01-18,F03,Membership,840,512.4,327.6
T0000335,M00165,2024-11-15,F04,Membership,540,302.4,237.6
T0000336,M00165,2025-01-01,F04,Membership,490,274.4,215.6
T0000337,M00166,2022-02-02,F03,Membership,480,283.2,196.8
T0000338,M00167,2024-08-24,F04,Membership,815,497.15,317.85
T0000339,M00167,2025-01-01,F04,Membership,840,512.4,327.6
T0000340,M00168,2023-07-13,F01,Membership,540,302.4,237.6
T0000341,M00168,2024-01-01,F01,Membership,540,302.4,237.6
T0000342,M00169,2023-02-23,F03,Membership,430,253.7,176.3
T0000343,M00169,2024-01-01,F03,Membership,430,253.7,176.3
T0000344,M00169,2025-01-01,F03,Membership,480,283.2,196.8
T0000345,M00170,2025-11-19,F02,Membership,490,274.4,215.6
T0000346,M00171,2023-02-03,F04,Membership,300,207,93
T0000347,M00171,2024-01-01,F04,Membership,300,207,93
T0000348,M00172,2023-11-11,F01,Membership,840,512.4,327.6
T0000349,M00173,2023-03-02,F01,Membership,490,274.4,215.6
T0000350,M00174,2024-10-19,F01,Membership,405,238.95,166.05
T0000351,M00174,2025-01-01,F01,Membership,480,283.2,196.8
T0000352,M00175,2023-07-05,F03,Membership,465,260.4,204.6
T0000353,M00175,2024-01-01,F03,Membership,540,302.4,237.6
T0000354,M00175,2025-01-01,F03,Membership,540,302.4,237.6
T0000355,M00176,2024-03-13,F01,Membership,840,512.4,327.6
T0000356,M00176,2025-01-01,F01,Membership,840,512.4,327.6
T0000357,M00177,2023-07-13,F04,Membership,840,512.4,327.6
T0000358,M00178,2025-02-20,F02,Membership,540,302.4,237.6
T0000359,M00179,2023-08-11,F03,Membership,300,207,93
T0000360,M00179,2024-01-01,F03,Membership,300,207,93
T0000361,M00179,2025-01-01,F03,Membership,275,189.75,85.25
T0000362,M00180,2024-03-24,F02,Membership,405,238.95,166.05
T0000363,M00181,2023-10-23,F01,Membership,840,512.4,327.6
T0000364,M00181,2024-01-01,F01,Membership,840,512.4,327.6
T0000365,M00181,2025-01-01,F01,Membership,840,512.4,327.6
T0000366,M00182,2024-06-30,F02,Membership,540,302.4,237.6
T0000367,M00183,2024-06-29,F01,Membership,840,512.4,327.6
T0000368,M00183,2025-01-01,F01,Membership,840,512.4,327.6
T0000369,M00184,2024-10-17,F04,Membership,490,274.4,215.6
T0000370,M00184,2025-01-01,F04,Membership,540,302.4,237.6
T0000371,M00185,2022-10-09,F01,Membership,300,207,93
T0000372,M00186,2025-01-27,F01,Membership,515,288.4,226.6
T0000373,M00187,2025-01-11,F01,Membership,390,249.6,140.4
T0000374,M00188,2022-05-22,F03,Membership,390,249.6,140.4
T0000375,M00189,2022-07-31,F03,Membership,840,512.4,327.6
T0000376,M00189,2023-01-01,F03,Membership,840,512.4,327.6
T0000377,M00189,2024-01-01,F03,Membership,840,512.4,327.6
T0000378,M00190,2022-11-07,F02,Membership,340,217.6,122.4
T0000379,M00190,2023-01-01,F02,Membership,390,249.6,140.4
T0000380,M00191,2024-04-08,F04,Membership,840,512.4,327.6
T0000381,M00191,2025-01-01,F04,Membership,815,497.15,317.85
T0000382,M00192,2023-02-25,F04,Membership,390,249.6,140.4
T0000383,M00192,2024-01-01,F04,Membership,340,217.6,122.4
T0000384,M00192,2025-01-01,F04,Membership,315,201.6,113.4
T0000385,M00193,2024-03-01,F01,Membership,390,249.6,140.4
T0000386,M00194,2022-05-10,F01,Membership,515,288.4,226.6
T0000387,M00194,2023-01-01,F01,Membership,490,274.4,215.6
T0000388,M00194,2024-01-01,F01,Membership,515,288.4,226.6
T0000389,M00194,2025-01-01,F01,Membership,515,288.4,226.6
T0000390,M00195,2023-07-20,F04,Membership,840,512.4,327.6
T0000391,M00195,2024-01-01,F04,Membership,840,512.4,327.6
T0000392,M00195,2025-01-01,F04,Membership,840,512.4,327.6
T0000393,M00196,2024-06-08,F04,Membership,515,288.4,226.6
T0000394,M00196,2025-01-01,F04,Membership,490,274.4,215.6
T0000395,M00197,2022-06-04,F01,Membership,390,249.6,140.4
T0000396,M00197,2023-01-01,F01,Membership,390,249.6,140.4
T0000397,M00198,2024-08-31,F04,Membership,765,466.65,298.35
T0000398,M00199,2023-09-09,F04,Membership,480,283.2,196.8
T0000399,M00199,2024-01-01,F04,Membership,480,283.2,196.8
T0000400,M00200,2025-11-05,F01,Membership,405,238.95,166.05
T0000401,M00201,2023-11-23,F02,Membership,540,302.4,237.6
T0000402,M00202,2022-09-09,F01,Membership,405,238.95,166.05
T0000403,M00203,2023-01-06,F01,Membership,815,497.15,317.85
T0000404,M00203,2024-01-01,F01,Membership,815,497.15,317.85
T0000405,M00203,2025-01-01,F01,Membership,840,512.4,327.6
T0000406,M00204,2022-11-04,F02,Membership,540,302.4,237.6
T0000407,M00204,2023-01-01,F02,Membership,490,274.4,215.6
T0000408,M00205,2022-09-06,F02,Membership,840,512.4,327.6
T0000409,M00205,2023-01-01,F02,Membership,815,497.15,317.85
T0000410,M00205,2024-01-01,F02,Membership,840,512.4,327.6
T0000411,M00205,2025-01-01,F02,Membership,790,481.9,308.1
T0000412,M00206,2023-01-28,F02,Membership,430,253.7,176.3
T0000413,M00206,2024-01-01,F02,Membership,455,268.45,186.55
T0000414,M00207,2022-09-21,F02,Membership,840,512.4,327.6
T0000415,M00207,2023-01-01,F02,Membership,840,512.4,327.6
T0000416,M00207,2024-01-01,F02,Membership,815,497.15,317.85
T0000417,M00208,2024-06-12,F01,Membership,540,302.4,237.6
T0000418,M00208,2025-01-01,F01,Membership,540,302.4,237.6
T0000419,M00209,2024-09-21,F02,Membership,250,172.5,77.5
T0000420,M00209,2025-01-01,F02,Membership,225,155.25,69.75
T0000421,M00210,2023-06-25,F01,Membership,480,283.2,196.8
T0000422,M00210,2024-01-01,F01,Membership,480,283.2,196.8
T0000423,M00211,2025-06-11,F03,Membership,840,512.4,327.6
T0000424,M00212,2024-10-03,F02,Membership,250,172.5,77.5
T0000425,M00212,2025-01-01,F02,Membership,300,207,93
