member_id,household_id,join_date,home_facility_id,service_area,age_group,membership_type,acquisition_channel,marketing_consent,postal_fsa,engagement_score
M00139,H00139,2023-11-10,F04,West Valley,Under 18,Monthly flexible,Email,Yes,V1A,0.465
M00140,H00140,2024-02-02,F02,East Shore,35-49,Family annual,Paid social,Yes,V1C,1.481
M00141,H00047,2023-09-03,F04,West Valley,Under 18,Family annual,Community event,Yes,V1C,1.253
M00142,H00142,2022-02-28,F01,Central,50-64,Monthly flexible,Email,No,V1C,0.71
M00143,H00143,2022-09-20,F02,East Shore,18-34,Family annual,Walk-in,Yes,V1B,0.633
M00144,H00072,2024-09-10,F01,Central,35-49,Adult annual,Paid social,Yes,V1C,1.118
M00145,H00049,2022-08-11,F02,East Shore,Under 18,Family annual,Email,Yes,V1B,1.154
M00146,H00049,2024-07-06,F01,Central,18-34,Senior annual,Referral,Yes,V1B,1.48
M00147,H00147,2024-02-24,F01,Central,35-49,Family annual,Referral,No,V1A,0.714
M00148,H00074,2022-07-13,F04,West Valley,35-49,Family annual,Walk-in,Yes,V1E,0.476
M00149,H00050,2024-07-22,F04,West Valley,18-34,Adult annual,Email,Yes,V1B,1.177
M00150,H00150,2023-04-15,F01,Central,35-49,Adult annual,Organic web,Yes,V1C,0.552
M00151,H00051,2024-09-15,F01,Central,65+,Youth annual,Organic web,Yes,V1D,0.551
M00152,H00152,2024-01-27,F02,East Shore,65+,Youth annual,Email,Yes,V1B,1.193
M00153,H00077,2025-04-26,F01,Central,50-64,Monthly flexible,Organic web,Yes,V1D,0.949
M00154,H00052,2022-08-30,F04,West Valley,18-34,Adult annual,Referral,Yes,V1D,0.551
M00155,H00078,2024-01-13,F02,East Shore,35-49,Senior annual,Paid social,Yes,V1C,0.87
M00156,H00156,2022-10-04,F03,North Valley,18-34,Monthly flexible,Email,Yes,V1B,1.679
M00157,H00157,2024-04-29,F01,Central,18-34,Senior annual,Referral,Yes,V1A,1.093
M00158,H00079,2022-07-24,F03,North Valley,50-64,Family annual,Organic web,No,V1B,0.677
M00159,H00080,2025-08-14,F01,Central,35-49,Youth annual,Referral,Yes,V1E,1.531
M00160,H00160,2024-01-26,F04,West Valley,65+,Monthly flexible,Organic web,Yes,V1A,0.932
M00161,H00161,2024-06-04,F01,Central,18-34,Monthly flexible,Walk-in,No,V1A,1.632
M00162,H00081,2022-02-11,F01,Central,35-49,Adult annual,Walk-in,Yes,V1B,1.425
M00163,H00082,2023-10-05,F03,North Valley,35-49,Adult annual,Walk-in,No,V1E,0.882
M00164,H00164,2022-01-18,F03,North Valley,35-49,Family annual,Organic web,No,V1E,0.555
M00165,H00165,2024-11-15,F04,West Valley,35-49,Adult annual,Email,Yes,V1C,1.333
M00166,H00166,2022-02-02,F03,North Valley,35-49,Monthly flexible,Referral,Yes,V1A,1.118
M00167,H00167,2024-08-24,F04,West Valley,18-34,Family annual,Organic web,No,V1B,0.854
M00168,H00168,2023-07-13,F01,Central,50-64,Adult annual,Paid social,Yes,V1A,1.216
M00169,H00169,2023-02-23,F03,North Valley,50-64,Monthly flexible,Community event,Yes,V1D,1.307
M00170,H00170,2025-11-19,F02,East Shore,50-64,Adult annual,Referral,Yes,V1C,1.186
M00171,H00171,2023-02-03,F04,West Valley,35-49,Youth annual,Paid social,No,V1C,0.54
M00172,H00086,2023-11-11,F01,Central,50-64,Family annual,Organic web,Yes,V1C,0.772
M00173,H00173,2023-03-02,F01,Central,50-64,Adult annual,Walk-in,Yes,V1B,0.703
M00174,H00174,2024-10-19,F01,Central,18-34,Monthly flexible,Walk-in,Yes,V1D,1.69
M00175,H00175,2023-07-05,F03,North Valley,65+,Adult annual,Walk-in,No,V1D,0.617
M00176,H00176,2024-03-13,F01,Central,Under 18,Family annual,Walk-in,Yes,V1A,1.435
M00177,H00177,2023-07-13,F04,West Valley,18-34,Family annual,Referral,Yes,V1E,1.571
M00178,H00178,2025-02-20,F02,East Shore,35-49,Adult annual,Organic web,Yes,V1A,1.605
M00179,H00179,2023-08-11,F03,North Valley,65+,Youth annual,Email,Yes,V1B,0.902
M00180,H00180,2024-03-24,F02,East Shore,35-49,Monthly flexible,Walk-in,No,V1E,1.416
M00181,H00181,2023-10-23,F01,Central,50-64,Family annual,Community event,Yes,V1E,1.513
M00182,H00182,2024-06-30,F02,East Shore,35-49,Adult annual,Community event,Yes,V1C,1.02
M00183,H00061,2024-06-29,F01,Central,65+,Family annual,Paid social,Yes,V1A,1.481
M00184,H00062,2024-10-17,F04,West Valley,35-49,Adult annual,Walk-in,No,V1E,0.451
M00185,H00185,2022-10-09,F01,Central,18-34,Youth annual,Walk-in,Yes,V1A,1.241
M00186,H00186,2025-01-27,F01,Central,18-34,Adult annual,Referral,Yes,V1D,0.802
M00187,H00187,2025-01-11,F01,Central,Under 18,Senior annual,Community event,Yes,V1A,0.847
M00188,H00063,2022-05-22,F03,North Valley,65+,Senior annual,Paid social,Yes,V1C,0.849
M00189,H00095,2022-07-31,F03,North Valley,65+,Family annual,Walk-in,Yes,V1E,0.801
M00190,H00190,2022-11-07,F02,East Shore,50-64,Senior annual,Community event,Yes,V1E,0.947
M00191,H00191,2024-04-08,F04,West Valley,65+,Family annual,Walk-in,Yes,V1A,0.982
M00192,H00064,2023-02-25,F04,West Valley,18-34,Senior annual,Referral,No,V1A,0.934
M00193,H00065,2024-03-01,F01,Central,18-34,Senior annual,Email,Yes,V1C,1.03
M00194,H00097,2022-05-10,F01,Central,50-64,Adult annual,Walk-in,Yes,V1C,1.356
M00195,H00065,2023-07-20,F04,West Valley,65+,Family annual,Organic web,Yes,V1B,1.259
M00196,H00196,2024-06-08,F04,West Valley,65+,Adult annual,Walk-in,Yes,V1A,1.433
M00197,H00099,2022-06-04,F01,Central,50-64,Senior annual,Community event,Yes,V1C,1.335
M00198,H00099,2024-08-31,F04,West Valley,Under 18,Family annual,Organic web,Yes,V1A,0.687
M00199,H00199,2023-09-09,F04,West Valley,65+,Monthly flexible,Referral,Yes,V1E,0.941
M00200,H00067,2025-11-05,F01,Central,50-64,Monthly flexible,Email,No,V1B,0.897
M00201,H00101,2023-11-23,F02,East Shore,35-49,Adult annual,Organic web,No,V1E,0.997
M00202,H00202,2022-09-09,F01,Central,35-49,Monthly flexible,Organic web,Yes,V1B,0.795
M00203,H00203,2023-01-06,F01,Central,18-34,Family annual,Paid social,Yes,V1C,1.008
M00204,H00204,2022-11-04,F02,East Shore,Under 18,Adult annual,Walk-in,Yes,V1D,1.003
M00205,H00205,2022-09-06,F02,East Shore,65+,Family annual,Organic web,Yes,V1D,0.821
M00206,H00206,2023-01-28,F02,East Shore,50-64,Monthly flexible,Paid social,Yes,V1D,0.848
M00207,H00104,2022-09-21,F02,East Shore,35-49,Family annual,Organic web,Yes,V1D,1.218
M00208,H00208,2024-06-12,F01,Central,50-64,Adult annual,Paid social,Yes,V1B,1.594
M00209,H00105,2024-09-21,F02,East Shore,65+,Youth annual,Organic web,No,V1E,1.136
M00210,H00210,2023-06-25,F01,Central,35-49,Monthly flexible,Walk-in,Yes,V1B,1.005
M00211,H00071,2025-06-11,F03,North Valley,18-34,Family annual,Walk-in,Yes,V1D,1.608
M00212,H00212,2024-10-03,F02,East Shore,65+,Youth annual,Paid social,Yes,V1C,1.151
M00213,H00213,2023-05-20,F02,East Shore,35-49,Monthly flexible,Organic web,Yes,V1E,1.023
M00214,H00214,2024-07-04,F01,Central,18-34,Family annual,Paid social,Yes,V1C,0.801
M00215,H00215,2024-09-10,F04,West Valley,35-49,Adult annual,Organic web,No,V1D,1.066
M00216,H00108,2022-06-23,F02,East Shore,50-64,Senior annual,Organic web,Yes,V1E,0.645
M00217,H00109,2025-11-13,F04,West Valley,50-64,Adult annual,Walk-in,Yes,V1E,0.592
M00218,H00109,2023-10-16,F03,North Valley,Under 18,Monthly flexible,Referral,Yes,V1C,0.967
M00219,H00073,2022-01-31,F02,East Shore,18-34,Adult annual,Walk-in,Yes,V1B,1.142
M00220,H00110,2022-08-25,F03,North Valley,50-64,Youth annual,Referral,Yes,V1D,0.957
M00221,H00111,2023-10-16,F01,Central,35-49,Monthly flexible,Community event,Yes,V1C,0.577
M00222,H00111,2022-07-01,F01,Central,35-49,Adult annual,Walk-in,Yes,V1B,1.536
M00223,H00223,2023-10-06,F02,East Shore,50-64,Adult annual,Walk-in,Yes,V1C,1.641
M00224,H00112,2022-03-25,F01,Central,50-64,Family annual,Community event,No,V1D,0.452
M00225,H00075,2022-01-09,F04,West Valley,50-64,Senior annual,Community event,Yes,V1E,0.695
M00226,H00226,2025-03-23,F03,North Valley,18-34,Adult annual,Organic web,Yes,V1A,1.535
M00227,H00114,2025-10-14,F01,Central,Under 18,Senior annual,Community event,No,V1E,1.174
M00228,H00076,2022-05-01,F04,West Valley,18-34,Family annual,Paid social,Yes,V1B,0.881
M00229,H00229,2024-06-04,F01,Central,Under 18,Adult annual,Organic web,No,V1D,1.062
M00230,H00230,2022-08-07,F04,West Valley,65+,Monthly flexible,Organic web,No,V1C,1.316
M00231,H00231,2024-04-13,F01,Central,35-49,Adult annual,Organic web,Yes,V1C,0.718
M00232,H00232,2023-07-22,F02,East Shore,65+,Adult annual,Walk-in,No,V1D,1.057
M00233,H00078,2025-08-26,F04,West Valley,Under 18,Senior annual,Referral,No,V1E,1.601
M00234,H00117,2023-07-13,F04,West Valley,Under 18,Family annual,Walk-in,Yes,V1C,1.123
M00235,H00235,2022-09-12,F03,North Valley,50-64,Adult annual,Community event,Yes,V1E,0.522
M00236,H00118,2022-07-17,F04,West Valley,50-64,Monthly flexible,Referral,Yes,V1E,0.953
M00237,H00079,2023-08-31,F01,Central,35-49,Family annual,Organic web,Yes,V1C,1.307
M00238,H00080,2024-07-21,F01,Central,18-34,Family annual,Organic web,No,V1C,1.058
M00239,H00120,2024-08-22,F02,East Shore,35-49,Family annual,Organic web,Yes,V1B,1.48
M00240,H00240,2023-03-12,F01,Central,50-64,Monthly flexible,Referral,No,V1C,0.959
M00241,H00241,2024-10-07,F03,North Valley,18-34,Monthly flexible,Referral,Yes,V1C,1.06
M00242,H00121,2024-05-01,F04,West Valley,65+,Adult annual,Walk-in,Yes,V1A,1.049
M00243,H00243,2025-03-30,F01,Central,18-34,Senior annual,Organic web,Yes,V1D,1.61
M00244,H00244,2022-08-23,F02,East Shore,18-34,Adult annual,Paid social,Yes,V1A,1.634
M00245,H00245,2023-02-16,F04,West Valley,35-49,Youth annual,Organic web,No,V1D,0.465
M00246,H00246,2022-09-10,F01,Central,65+,Family annual,Paid social,Yes,V1A,0.706
M00247,H00247,2025-10-17,F03,North Valley,18-34,Senior annual,Walk-in,Yes,V1A,1.311
M00248,H00248,2024-07-26,F04,West Valley,18-34,Family annual,Organic web,Yes,V1C,0.764
M00249,H00249,2025-03-10,F04,West Valley,Under 18,Senior annual,Email,Yes,V1E,0.958
M00250,H00250,2024-11-13,F02,East Shore,35-49,Youth annual,Paid social,Yes,V1A,0.781
M00251,H00126,2024-02-19,F01,Central,Under 18,Youth annual,Organic web,Yes,V1B,1.143
M00252,H00252,2024-01-06,F01,Central,18-34,Adult annual,Organic web,Yes,V1C,0.507
M00253,H00127,2024-02-21,F01,Central,50-64,Adult annual,Walk-in,Yes,V1E,1.174
M00254,H00085,2023-02-24,F02,East Shore,18-34,Youth annual,Organic web,Yes,V1A,1.69
M00255,H00255,2022-04-10,F03,North Valley,50-64,Adult annual,Referral,Yes,V1E,1.229
M00256,H00086,2023-08-14,F01,Central,Under 18,Family annual,Community event,Yes,V1C,1.437
M00257,H00086,2022-03-08,F04,West Valley,18-34,Adult annual,Paid social,Yes,V1A,0.617
M00258,H00258,2025-04-26,F01,Central,65+,Monthly flexible,Community event,Yes,V1B,0.602
M00259,H00259,2023-04-01,F02,East Shore,65+,Adult annual,Organic web,Yes,V1B,1.262
M00260,H00260,2024-04-17,F01,Central,35-49,Monthly flexible,Community event,Yes,V1C,0.902
M00261,H00261,2024-05-12,F02,East Shore,18-34,Adult annual,Walk-in,Yes,V1A,1.348
M00262,H00262,2024-09-12,F04,West Valley,Under 18,Family annual,Paid social,No,V1B,0.799
M00263,H00263,2023-06-03,F04,West Valley,35-49,Adult annual,Referral,Yes,V1C,0.514
M00264,H00264,2024-02-14,F04,West Valley,50-64,Monthly flexible,Walk-in,Yes,V1C,1.145
M00265,H00089,2023-06-30,F01,Central,18-34,Monthly flexible,Referral,Yes,V1C,0.751
M00266,H00266,2023-06-24,F02,East Shore,50-64,Adult annual,Organic web,No,V1B,1.114
M00267,H00267,2025-07-04,F01,Central,50-64,Adult annual,Organic web,Yes,V1D,0.647
M00268,H00134,2025-10-06,F03,North Valley,Under 18,Family annual,Organic web,No,V1B,1.328
M00269,H00269,2023-03-16,F02,East Shore,18-34,Family annual,Paid social,No,V1A,0.71
M00270,H00135,2024-08-21,F02,East Shore,35-49,Adult annual,Referral,No,V1E,1.679
M00271,H00091,2025-08-23,F03,North Valley,65+,Adult annual,Paid social,Yes,V1B,1.029
M00272,H00272,2023-03-08,F02,East Shore,50-64,Monthly flexible,Organic web,Yes,V1B,0.983
M00273,H00273,2023-08-05,F04,West Valley,18-34,Family annual,Paid social,Yes,V1B,0.794
M00274,H00274,2023-10-03,F01,Central,18-34,Adult annual,Walk-in,Yes,V1C,1.031
M00275,H00275,2022-03-29,F01,Central,18-34,Family annual,Referral,Yes,V1A,0.53
M00276,H00138,2022-10-24,F01,Central,35-49,Family annual,Referral,Yes,V1C,1.229
M00277,H00277,2022-10-29,F01,Central,35-49,Senior annual,Email,Yes,V1D,0.878
M00278,H00278,2022-07-06,F01,Central,35-49,Monthly flexible,Walk-in,Yes,V1C,1.455
M00279,H00279,2023-03-03,F04,West Valley,50-64,Family annual,Organic web,Yes,V1C,1.655
M00280,H00280,2024-04-15,F03,North Valley,50-64,Family annual,Walk-in,Yes,V1B,1.123
M00281,H00094,2023-11-04,F02,East Shore,35-49,Adult annual,Community event,Yes,V1A,1.353
M00282,H00141,2023-06-06,F02,East Shore,50-64,Monthly flexible,Paid social,Yes,V1A,0.605
M00283,H00095,2025-08-09,F03,North Valley,35-49,Adult annual,Referral,Yes,V1C,0.894
M00284,H00284,2023-08-23,F02,East Shore,35-49,Senior annual,Email,Yes,V1C,1.35
M00285,H00143,2022-09-08,F03,North Valley,Under 18,Adult annual,Paid social,Yes,V1C,1.53
